ACCESSION_NUMBER	BORROWER_ID	NAME	LEI	AGGREGATE_VALUE
0001410368-25-017881	909061	CITIGROUP GLOBAL MARKETS LIMITED	XKZZ2JZF41MRHTR1V493	121433713.75574
0001410368-25-017881	909074	BARCLAYS BANK PLC	G5GSEF7VJP5I7OUK5573	626984
0001410368-25-017881	909076	UBS AG	BFM8T61CT2L1QCEMIK50	22977518.498258
0000035402-25-001447	911863	BARCLAYS CAPITAL INC.	AC28XWWI3WIBK2824319	164716766.67
0001193125-25-251553	909563	J.P. MORGAN SECURITIES PLC	K6Q0W1PS1L1O4IQL9C32	8988492.68
0000036405-25-000237	918167	Wells Fargo Securities LLC	VYVVCKR63DVZZN70PB21	26483513.36
0000036405-25-000243	918311	Barclays Capital Inc	AC28XWWI3WIBK2824319	255530085
0000036405-25-000243	918333	State Street Bank and Trust Company	571474TGEMMWANRLN572	23925361.4
0000036405-25-000240	918373	Mizuho Securities USA, LLC	5493004GRDTUI7EMIZ82	181975
0000036405-25-000240	918374	Morgan Stanley & Co. LLC	9R7GPTSO7KV3UQJZQ078	47481536.2
0001004726-25-002059	918504	Pershing LLC	ZI8Q1A8EI8LQFJNM0D94	214138.525
0001004726-25-002059	918506	BNP PARIBAS SECURITIES CORP	RCNB6OTYUAMMP879YW96	2408177.43
0001004726-25-002059	918511	Jefferies LLC	58PU97L1C0WSRCWADL48	3046577.08
0001004726-25-002059	918515	BofA Securities, Inc.	549300HN4UKV1E2R3U73	192312813.98
0001004726-25-002059	918517	Wells Fargo Securities LLC	VYVVCKR63DVZZN70PB21	19448274.42
0000035402-25-001329	911252	CANADIAN IMPRL BK COMM NY BRH	549300H8L46OOZOFHU82	13895270
0000035402-25-001351	911304	BOFA SECURITIES INC	549300HN4UKV1E2R3U73	7265220
0000035402-25-001351	911307	TD PRIME SERVICES LLC	549300ZBQI1JB1844X09	7739
0000035402-25-001351	911309	JPMORGAN SECURITIES LLC	ZBUT11V806EZRVTWT807	33848619.46
0000035402-25-001475	911932	BMO CAPITAL MARKETS CORP	RUC0QBLBRPRCU4W1NE59	583684.35
0000035402-25-002118	918835	UBS SECURITIES LLC.	T6FIZBDPKLYJKFCRVK44	2253162
0000035402-25-002136	918968	MORGAN STANLEY and CO LLC	9R7GPTSO7KV3UQJZQ078	289012476
0000035402-25-002136	918978	PERSHING LLC	ZI8Q1A8EI8LQFJNM0D94	2905062
0000862084-25-000080	919110	Barclays Capital Inc	AC28XWWI3WIBK2824319	3228917.25
0000862084-25-000080	919111	BofA Securities Inc	549300HN4UKV1E2R3U73	3921845.8
0000862084-25-000080	919116	JP Morgan Securities LLC	ZBUT11V806EZRVTWT807	2053004.41
0000862084-25-000080	919122	UBS Securities LLC	T6FIZBDPKLYJKFCRVK44	1531744.91
0000862084-25-000080	919124	Wells Fargo Securities LLC	VYVVCKR63DVZZN70PB21	143.32
0000940400-25-010613	920113	CITIGROUP GLOBAL MARKETS INC.	MBNUM2BPBDO7JBLYG310	601943544.42
0000940400-25-010613	920115	CITADEL CLEARING LLC	5493001I7IJ4CW6Q9N27	572650
0000940400-25-010613	920117	VIRTU AMERICAS, LLC	549300RA02N3BNSWBV74	15091839
0000940400-25-010613	920120	Jefferies LLC	58PU97L1C0WSRCWADL48	120007872.68
0000940400-25-010613	920124	JP MORGAN SECURITIES LLC	ZBUT11V806EZRVTWT807	521940434.99
0000940400-25-010613	920133	HSBC BANK PLC	MP6I5ZYZBEU3UXPYFY54	77289151.87
0000940400-25-010613	920135	National Bank Financial Inc.	549300D83GR71RNG0O65	759172.47
0001410368-25-032006	924119	Goldman Sachs & Co. LLC	FOR8UP27PHTHYVLBNG30	16698873.5
0000777535-25-000042	924206	MACQUARIE BANK LIMITED	549300MPRNPO6FWNKN78	13705413.91
0000777535-25-000042	924207	MERRILL LYNCH INTERNATIONAL	GGDZP1UYGU9STUHRDP48	15.69
0000777535-25-000042	924220	TD SECURITIES (USA) LLC	SUVUFHICNZMP2WKHG940	14664894.26
0001410368-25-032043	924894	Wells Fargo Bank, National Association	KB1H1DSPRFMYMCUFXT09	15200647.6
0001410368-25-032201	925161	BNP PARIBAS SECURITIES CORP	RCNB6OTYUAMMP879YW96	10846157.1
0001410368-25-032201	925167	TD Prime Services LLC	549300ZBQI1JB1844X09	40692907.13
0001410368-25-032201	925170	National Financial Services LLC	549300JRHF1MHHWUAW04	137903688.71
0001410368-25-032201	925172	BMO Capital Markets	RUC0QBLBRPRCU4W1NE59	4730407.64
0001410368-25-017836	908789	TD Securities (USA) LLC	SUVUFHICNZMP2WKHG940	2926994.7112
0001410368-25-017836	908798	CITIGROUP GLOBAL MARKETS INC.	MBNUM2BPBDO7JBLYG310	49390804.4889
0001410368-25-017836	908802	Wells Fargo Bank, National Association	KB1H1DSPRFMYMCUFXT09	7401178.4837
0000035402-25-001483	911873	WELLS FARGO SECURITIES, LLC(GOV REPO)	VYVVCKR63DVZZN70PB21	4352653.58
0000035402-25-001483	911874	STATE STREET BANK AND TRUST COMPANY	571474TGEMMWANRLN572	188319057.12
0000035402-25-001483	911878	CITIGROUP GLOBAL MARKETS INC.	MBNUM2BPBDO7JBLYG310	185276310.38
0001410368-25-031990	923992	Goldman Sachs & Co. LLC	FOR8UP27PHTHYVLBNG30	520202.75
0001378872-25-000392	913738	J.P. Morgan Securities LLC	ZBUT11V806EZRVTWT807	401991
0001378872-25-000392	913739	Natixis Securities America LLC	549300L8G1E7ZHVEOG75	9385228
0001378872-25-000392	913740	TD PRIME SERVICES LLC	549300ZBQI1JB1844X09	39635712.11
0001378872-25-000392	913745	STATE STREET BANK AND TRUST COMPANY	571474TGEMMWANRLN572	1468904.69
0001378872-25-000392	913748	BOFA SECURITIES INC	549300HN4UKV1E2R3U73	246206575.68
0001193125-25-293305	917101	BNP PARIBAS PRIME BROKERAGE INTERNATIONAL LIMITED	549300KUN9K9K32C6D97	109086232
0001193125-25-293318	917129	J.P. MORGAN SECURITIES LLC	ZBUT11V806EZRVTWT807	159558.629754
0000035402-25-001403	911500	STATE STREET BANK AND TRUST COMPANY	571474TGEMMWANRLN572	2521187
0001410368-25-019349	912558	BNP PARIBAS PB INTL LTD	549300KUN9K9K32C6D97	52006185.65999999
0001410368-25-019349	912566	J.P. MORGAN SECURITIES LLC	ZBUT11V806EZRVTWT807	7333208.68999999
0001099263-25-003640	920888	PERSHING LLC	ZI8Q1A8EI8LQFJNM0D94	186275
0001099263-25-003640	920891	CITIGROUP GLOBAL MARKETS INC.	MBNUM2BPBDO7JBLYG310	4364497.7599999998
0001410368-25-017888	909254	Pershing LLC	ZI8Q1A8EI8LQFJNM0D94	14243453.58678
0001410368-25-017888	909256	TD Securities (USA) LLC	SUVUFHICNZMP2WKHG940	1681932.774
0001410368-25-017888	909257	HSBC SECURITIES (USA) INC	CYYGQCGNHMHPSMRL3R97	194637.4414
0000777535-25-000037	922090	BARCLAYS BANK PLC	G5GSEF7VJP5I7OUK5573	13047368.12
0000777535-25-000037	922102	JP MORGAN SECURITIES LLC	ZBUT11V806EZRVTWT807	53236.33
0000777535-25-000037	922103	JP MORGAN SECURITIES PLC	K6Q0W1PS1L1O4IQL9C32	6150923.89
0000777535-25-000037	922111	UBS SECURITIES LLC	T6FIZBDPKLYJKFCRVK44	1217003.56
0001410368-25-031937	923545	Barclays Capital Securities Limited	K9WDOH4D2PYBSLSOB484	29497842.24
0001410368-25-031937	923548	Natixis Securities Americas LLC	549300L8G1E7ZHVEOG75	393675
0002071691-25-007618	925731	JP MORGAN SECURITIES LLC	ZBUT11V806EZRVTWT807	222410571.5816
0002071691-25-007618	925734	Scotia Capital Inc	5493009NLZXZGJDOPC94	1229778.3
0000035402-25-001381	911473	BARCLAYS CAPITAL INC.	AC28XWWI3WIBK2824319	23248202.06
0002071691-25-007652	925976	STATE STREET BANK & TRUST COMPANY	571474TGEMMWANRLN572	112085132.005
0002071691-25-007652	925977	National Financial Services LLC	549300JRHF1MHHWUAW04	93802497.9684
0002071691-25-007652	925982	Scotia Capital Inc	5493009NLZXZGJDOPC94	1745200.14
0002071691-25-007652	925985	VIRTU AMERICAS, LLC	549300RA02N3BNSWBV74	8683812.48
0002071691-25-007652	925990	BofA Securities, Inc.	549300HN4UKV1E2R3U73	537680775.936992
0002071691-25-007646	926052	HSBC BANK PLC	MP6I5ZYZBEU3UXPYFY54	19123846.46
0000035402-25-001373	911432	BARCLAYS CAPITAL INC.	AC28XWWI3WIBK2824319	5458321.97
0000035402-25-001373	911435	TD PRIME SERVICES LLC	549300ZBQI1JB1844X09	173634
0001193125-25-293324	917194	JEFFERIES INTERNATIONAL LIMITED	S5THZMDUJCTQZBTRVI98	520243.393671
0000052848-25-000265	910930	BMO Capital Markets Corp.	RUC0QBLBRPRCU4W1NE59	4764896
0000052848-25-000265	910931	CANTOR FITZGERALD	5493004J7H4GCPG6OB62	4640898
0000036405-25-000236	918174	RBC Dominion Securities Inc	549300QJJX6CVVUXLE15	1675752
0000036405-25-000236	918175	SG Americas Securities LLC	549300F35UE0BOM1WJ55	526449
0001193125-25-251567	909589	J.P. MORGAN SECURITIES LLC	ZBUT11V806EZRVTWT807	8588041.42
0000923202-25-000082	918211	Citigroup Global Markets Inc	MBNUM2BPBDO7JBLYG310	116999532.6
0000923202-25-000082	918217	Macquarie Bank Ltd	4ZHCHI4KYZG2WVRT8631	82444038.08
0000923202-25-000082	918220	Nomura Securities International, Inc.	OXTKY6Q8X53C9ILVV871	17844423.46
0000036405-25-000235	918263	The Bank of Nova Scotia Houston Branch	L3I9ZG2KFGXZ61BMYR72	29443486.6
0000036405-25-000235	918238	CANTOR FITZGERALD	5493004J7H4GCPG6OB62	4877240.21
0000036405-25-000235	918249	Marex Capital Markets Inc	5493006BWPDUCYG6EQ34	13665766
0000036405-25-000242	918280	Marex Capital Markets Inc	5493006BWPDUCYG6EQ34	2219778
0000036405-25-000242	918289	Scotia Capital (USA) Inc	549300BLWPABP1VNME36	22791811.6
0001004726-25-002043	918566	VIRTU AMERICAS, LLC	549300RA02N3BNSWBV74	653625
0000889519-25-000042	918427	BMO Capital Markets Corp.	RUC0QBLBRPRCU4W1NE59	190553.21
0000889519-25-000042	918432	Citigroup Global Markets Inc	MBNUM2BPBDO7JBLYG310	3505409.25
0000889519-25-000042	918438	Marex Capital Markets Inc	5493006BWPDUCYG6EQ34	239085
0000889519-25-000042	918441	National Financial Services LLC	549300JRHF1MHHWUAW04	314338.78
0000889519-25-000042	918446	TD Prime Services, Inc.	549300ZBQI1JB1844X09	14410.5
0000889519-25-000042	918448	UBS Securities LLC	T6FIZBDPKLYJKFCRVK44	613141.44
0001193125-25-293319	917137	MORGAN STANLEY & CO. LLC	9R7GPTSO7KV3UQJZQ078	68446632.664815
0002071691-25-006423	917164	Cantor Fitzgerald & Co	5493004J7H4GCPG6OB62	1116248.12
0002071691-25-006423	917166	Nomura Securities International, Inc.	OXTKY6Q8X53C9ILVV871	3558180
0001004726-25-002038	918402	SG AMERICAS SECURITIES LLC	549300F35UE0BOM1WJ55	3187547.3
0001004726-25-002038	918409	UBS SECURITIES LLC	T6FIZBDPKLYJKFCRVK44	3449382
0001193125-25-293283	917105	NATIONAL FINANCIAL SERVICES LLC	549300JRHF1MHHWUAW04	1458000
0001410368-25-017275	908430	Citigroup Global Markets Inc	MBNUM2BPBDO7JBLYG310	309013
0000940400-25-010616	920166	GOLDMAN SACHS & CO.	FOR8UP27PHTHYVLBNG30	14356612
0000940400-25-010616	920168	Jefferies LLC	58PU97L1C0WSRCWADL48	1752353
0000940400-25-010616	920169	BNP PARIBAS PRIME BROKERAGE INTERNATIONAL LIMITED	549300KUN9K9K32C6D97	12767898.155
0000940400-25-010616	920171	BARCLAYS BANK PLC	G5GSEF7VJP5I7OUK5573	2345241.25
0000940400-25-010642	920240	BofA Securities, Inc.	549300HN4UKV1E2R3U73	469232082.92
0000940400-25-010642	920245	National Financial Services LLC	549300JRHF1MHHWUAW04	135353636.15
0000940400-25-010642	920246	Scotia Capital (USA) Inc	549300BLWPABP1VNME36	5091608
0000035402-25-002272	920533	NATIONAL BANK OF CANADA FINANCIAL INC	549300K66TF1ST7A3V76	10892050
0000035402-25-002272	920534	BARCLAYS CAPITAL INC.	AC28XWWI3WIBK2824319	8021031.8
0000035402-25-002272	920538	BNP PARIBAS SECURITIES CORP (GOV REPO)	RCNB6OTYUAMMP879YW96	26175755
0001099263-25-003622	920546	MORGAN STANLEY & CO. LLC	9R7GPTSO7KV3UQJZQ078	1159301.8
0000035402-25-001446	911688	MORGAN STANLEY and CO LLC	9R7GPTSO7KV3UQJZQ078	5633155.89
0000940400-25-010641	920583	Wells Fargo Bank, National Association	KB1H1DSPRFMYMCUFXT09	462670
0000052848-25-000264	910895	CIBCI	549300TDJKVQJ41VN031	1932741
0000052848-25-000264	910897	BNP Paribas Securities Corp.	RCNB6OTYUAMMP879YW96	466240
0000035402-25-001335	911241	GOLDMAN SACHS and CO LLC (GOV REPO)	FOR8UP27PHTHYVLBNG30	1071180
0000036405-25-000244	918298	JP Morgan Securities LLC	ZBUT11V806EZRVTWT807	248976
0001410368-25-031954	923855	Jefferies LLC	58PU97L1C0WSRCWADL48	8503420
0001410368-25-031954	923856	Citigroup Global Markets Inc.	MBNUM2BPBDO7JBLYG310	5105430
0000777535-25-000040	923872	MORGAN STANLEY & CO. LLC.	9R7GPTSO7KV3UQJZQ078	42290047.62
0002071691-25-007634	925750	Jefferies LLC	58PU97L1C0WSRCWADL48	1872697.28
0002071691-25-007634	925761	TD Prime Services LLC	549300ZBQI1JB1844X09	409351
0002071691-25-007634	925763	SG AMERICAS SECURITIES LLC	549300F35UE0BOM1WJ55	19807.56
0002071691-25-007667	926172	MORGAN STANLEY & CO LLC	9R7GPTSO7KV3UQJZQ078	2296790.652
0002071691-25-007667	926181	GOLDMAN SACHS & CO.	FOR8UP27PHTHYVLBNG30	139340795.61
0000035402-25-001386	911445	WELLS FARGO SECURITIES, LLC(GOV REPO)	VYVVCKR63DVZZN70PB21	69911547.05
0000035402-25-001386	911454	ING FINANCIAL MARKETS LLC	KBVRJ5K57JZ3E2AVWX40	1059556.84
0000035402-25-001416	911493	JEFFERIES LLC	58PU97L1C0WSRCWADL48	206234.6
0000035402-25-001416	911494	NOMURA SECURITIES INTERNATIONAL INC	OXTKY6Q8X53C9ILVV871	281694.98
0000035402-25-001441	911662	SCOTIA CAPITAL (USA) INC.	549300BLWPABP1VNME36	23741854.77
0000035402-25-001440	911665	MORGAN STANLEY and CO LLC	9R7GPTSO7KV3UQJZQ078	190021899.43
0000035402-25-001440	911672	JEFFERIES LLC	58PU97L1C0WSRCWADL48	18420093.35
0000035402-25-001440	911673	CITIGROUP GLOBAL MARKETS INC.	MBNUM2BPBDO7JBLYG310	67783837.77
0000035402-25-001440	911676	ING FINANCIAL MARKETS LLC	KBVRJ5K57JZ3E2AVWX40	2506515.76
0000035402-25-001440	911681	UBS SECURITIES LLC.	T6FIZBDPKLYJKFCRVK44	3764728.37
0001410368-25-032289	925554	Macquarie Bank Limited	4ZHCHI4KYZG2WVRT8631	384696
0001410368-25-032289	925556	BNP Paribas Securities Corp.	RCNB6OTYUAMMP879YW96	1510716.76
0001410368-25-032289	925561	BofA Securities, Inc.	549300HN4UKV1E2R3U73	5975512.04
0000035402-25-001477	911830	BOFA SECURITIES INC	549300HN4UKV1E2R3U73	13039093
0000035402-25-001477	911831	BARCLAYS CAPITAL INC.	AC28XWWI3WIBK2824319	5147515.46
0000035402-25-001477	911833	CITIGROUP GLOBAL MARKETS INC.	MBNUM2BPBDO7JBLYG310	39781046.41
0000035402-25-001477	911836	JPMORGAN SECURITIES LLC	ZBUT11V806EZRVTWT807	1428378
0000035402-25-001477	911837	PERSHING LLC	ZI8Q1A8EI8LQFJNM0D94	1659000
0000035402-25-001477	911838	BMO CAPITAL MARKETS CORP	RUC0QBLBRPRCU4W1NE59	584072
0000035402-25-001485	911888	WELLS FARGO SECURITIES, LLC(GOV REPO)	VYVVCKR63DVZZN70PB21	24275206
0000035402-25-001485	911897	PERSHING LLC	ZI8Q1A8EI8LQFJNM0D94	3733762
0000035402-25-001485	911898	UBS SECURITIES LLC.	T6FIZBDPKLYJKFCRVK44	3987660
0001410368-25-032903	928905	CITIGROUP GLOBAL MARKETS INC	MBNUM2BPBDO7JBLYG310	36374529.69999999
0001410368-25-032903	928906	BOFA SECURITIES INC.	549300HN4UKV1E2R3U73	2964462.07999999
0001004726-25-003417	937573	BNP PARIBAS SECURITIES CORP	RCNB6OTYUAMMP879YW96	4712958.44999999
0001004726-25-003417	937581	CITIGROUP GLOBAL MARKETS INC	MBNUM2BPBDO7JBLYG310	35846142.88999996
0001004726-25-003417	937587	J.P. MORGAN SECURITIES LLC	ZBUT11V806EZRVTWT807	19588507.30999997
0000035402-25-003013	935697	BNP PARIBAS SECURITIES CORP (GOV REPO)	RCNB6OTYUAMMP879YW96	69827591.22
0001410368-25-043408	938927	Wells Fargo Securities LLC	VYVVCKR63DVZZN70PB21	26017488
0001084380-25-000525	940705	MIRAE ASSET SECURITIES (USA) INC.	25490087B4GFZLJZE912	433539.52
0001084380-25-000525	940709	MORGAN STANLEY & CO. LLC.	9R7GPTSO7KV3UQJZQ078	35558788.9
0001084380-25-000525	940720	BOFA SECURITIES, INC.	549300HN4UKV1E2R3U73	9299449.07
0000857489-25-000147	933876	Jefferies LLC	58PU97L1C0WSRCWADL48	6983861.13
0000857489-25-000147	933886	Clear Street LLC	549300KNQS43Y7TO3X67	199758
