HOLDING_ID	DEBT_SECURITY_REF_ID	ISSUER_NAME	ISSUE_TITLE	CURRENCY_CODE	CUSIP	ISIN	TICKER	OTHER_IDENTIFIER	OTHER_DESC
156086889	702568	WOLFSPEED INC	WOLFSPEED INC	USD	977852102				
156086889	702569	WOLFSPEED INC	WOLFSPEED INC	USD		US9778521024			
156086889	702570	WOLFSPEED INC	WOLFSPEED INC	USD			WOLF		
156086889	702571	WOLFSPEED INC	WOLFSPEED INC	USD				WOLF	CGSymbol
157288838	706577	Worldline SA	Worldline SA	EUR		FR0011981968			
156078522	702560	WOLFSPEED INC	WOLFSPEED INC	USD	977852102				
156078522	702561	WOLFSPEED INC	WOLFSPEED INC	USD		US9778521024			
156078522	702562	WOLFSPEED INC	WOLFSPEED INC	USD			WOLF		
156078522	702563	WOLFSPEED INC	WOLFSPEED INC	USD				WOLF	CGSymbol
157289917	706579	Davide Campari-Milano NV	Davide Campari-Milano NV	EUR		NL0015435975			
157913776	710159	  DAVIDE CAMPARI-MILANO SP /EUR/ 	  DAVIDE CAMPARI-MILANO SP /EUR/ 	EUR	N/A				
156086890	702572	WOLFSPEED INC	WOLFSPEED INC	USD	977852102				
156086890	702573	WOLFSPEED INC	WOLFSPEED INC	USD		US9778521024			
156086890	702574	WOLFSPEED INC	WOLFSPEED INC	USD			WOLF		
156086890	702575	WOLFSPEED INC	WOLFSPEED INC	USD				WOLF	CGSymbol
156086888	702564	AURORA INNOVATION INC	AURORA INNOVATION INC CL A	USD	051774107				
156086888	702565	AURORA INNOVATION INC	AURORA INNOVATION INC CL A	USD		US0517741072			
156086888	702566	AURORA INNOVATION INC	AURORA INNOVATION INC CL A	USD			AUR		
156086888	702567	AURORA INNOVATION INC	AURORA INNOVATION INC CL A	USD				AUR	CGSymbol
157923647	710162	SINO-OCEAN GP HLDS LTD	SINO-OCEAN GP HLDS LTD	USD	N/A				
156086891	702576	WOLFSPEED INC	WOLFSPEED INC	USD	977852102				
156086891	702577	WOLFSPEED INC	WOLFSPEED INC	USD		US9778521024			
156086891	702578	WOLFSPEED INC	WOLFSPEED INC	USD			WOLF		
156086891	702579	WOLFSPEED INC	WOLFSPEED INC	USD				WOLF	CGSymbol
157681446	708620	PAYCLIP INC	PAYCLIP INC (NOT LISTED OR TRADING)	MXN			0813205D		
157681446	708621	PAYCLIP INC	PAYCLIP INC (NOT LISTED OR TRADING)	MXN				ECP383891	CGSymbol
157755270	709899	VENTAS INC	VENTAS INC (REIT)	USD	92276F100				
157755270	709900	VENTAS INC	VENTAS INC (REIT)	USD		US92276F1003			
157755270	709901	VENTAS INC	VENTAS INC (REIT)	USD			VTR		
157755270	709902	VENTAS INC	VENTAS INC (REIT)	USD				VTR	CGSymbol
