HOLDING_ID	INDEX_NAME	INDEX_IDENTIFIER	NARRATIVE_DESC
155859589	CBOT $5 Mini Dow Jones Industrial Average e-CBOT Futures	DMU5 Index	
161041733	Eurex DAX Index Futures	GXZ5 Index	
160404678	Secured Overnight Financing Rate	SOFRATE	
156349763	CMBX BBB- CDSI S16 PRC CORP	CY873248	
156394386	CDX NA HY SERIES 44 5YR	CXPHY544	
156418948	CMBX AAA CDSI S13 PRC INDX	CY451600	
156415489	CMBX AAA CDSI S16 PRC INDX	CY873245	
159189266	iTraxx Europe Main44-V1	2I666VDM4	
158185878	CRSP US MdCp TR	CRSPMIT	
159442334	PRIMEX.ARM.2	N/A	N/A
159269559	AUD-BBR-BBSW-Bloomberg 6M	N/A	N/A
159386758	UK RPI All Items NSA	N/A	N/A
157923414	CDX.NA.HY.40	2I65BRZI4	
159098228	CME E-mini S&P 500 Index Futures	ESZ5 Index	
159133185	iBoxx USD Liquid High Yield Total Return Index	IBOXHY Index	
156371270	CMBX BBB- CDSI S16 PRC CORP	CY873248	
156390005	S and P 500 INDX	783786106	
157913508	CDX.EM.41	2I65BZFF4	
156084879	U.S. Urban CPI	CPURNSA	
159286587	AUD-BBR-BBSW-Bloomberg 6M	N/A	N/A
156451464	CMBX AAA CDSI S13 PRC INDX	CY451600	
156443530	CMBX AAA CDSI S17 PRC CORP	CY885799	
156455356	MARKIT CMBX.NA.BBB 15	CY562349	
156459723	CMBX AAA CDSI S17 PRC CORP	CY885799	
156455908	CMBX AAA CDSI S17 PRC CORP	CY885799	
156358912	CMBX BBB- CDSI S16 PRC CORP	CY873248	
156353206	CMBX BBB- CDSI S16 PRC CORP	CY873248	
158181544	NASDAQ 100 STOCK INDX	NDX	
156419389	CMBX BBB- CDSI S16 PRC CORP	CY873248	
159184828	iTraxx Europe Crossover42-V2	2I667KKW7	
158217897	Euro Stoxx 50 Pr	SX5E	
160436012	MSCI EM	MXEF	
159750339	Euronext CAC 40 Index	CAC	
159795526	U.S. Secured Overnight Financing Rate	SOFR	
158369778	RUSSELL 2000 INDEX	RTY	
159434276	CMBX.NA.AS.6	N/A	N/A
159426329	MEXICO INTERBANK TIIE 28 DAY	N/A	N/A
159423546	CMBX.NA.AAA.10	N/A	N/A
160469420	MSCI EM	MXEF	
157909370	CDX.EM.39	2I65BZFD9	
156352159	S and P 400 MIDCAP INDEX (MID)	EI09MID	
156493390	CMBX.NA.AA.6	137BEPAF8	
159290017	ABX.HE.AAA.06-2	N/A	N/A
158500334	Custom Equity Basket	252050_INDEX_HA	Custom Equity Basket
156456073	CMBX AAA CDSI S13 PRC INDX	CY451600	
156460092	CMBX AAA CDSI S17 PRC CORP	CY885799	
156453540	MARKIT CMBX.NA.BBB- S18	CZ030008	
161163140	MSCI EAFE         Dec25	IX55596393-0	
156370518	CMBX AAA CDSI S16 PRC INDX	CY873245	
156392427	S and P 500 INDX	783786106	
156392017	S and P 500 INDX	783786106	
161041787	SGX FTSE China A50 Futures Contract	XUX5 Index	
160385192	Secured Overnight Financing Rate	SOFRATE	
158355266	CMBX BBB- CDSI S16 PRC CORP	CY873248	
156345481	CMBX AAA CDSI S17 PRC CORP	CY885799	
156418487	CMBX AAA CDSI S18 PRC INDX	CZ030005	
160487584	S&P 500 Index	SPX	
158243392	United States SOFR Secured Ove	SOFRRATE	
160947165	SFE S&P ASX Share Price Index 200 Futures	XPZ5 Index	
158471048	MSCI EMERGING MARKETS INDEX	GB00BP5FTD07	
156354568	CMBX AAA CDSI S17 PRC CORP	CY885799	
156348578	CMBX AAA CDSI S17 PRC CORP	CY885799	
156346418	CMBX AAA CDSI S17 PRC CORP	CY885799	
156364865	CMBX BBB- CDSI S16 PRC CORP	CY873248	
156365113	CMBX BBB- CDSI S16 PRC CORP	CY873248	
159424534	AUD-BBR-BBSW-Bloomberg 6M	N/A	N/A
159422483	MEXICO INTERBANK TIIE 28 DAY	N/A	N/A
159432871	ABX.HE.AAA.07-2	N/A	N/A
159435516	CMBX.NA.AAA.8	N/A	N/A
159754459	TSE TOPIX (Tokyo Price Index)	TPX	
159795213	U.S. Secured Overnight Financing Rate	SOFR	
160448675	FTSE CNA Stk Connect Net	FCASCN	
159110059	S&P 500 E-Mini Index	US78378X1072	
159126158	iBoxx USD Liquid High Yield Total Return Index	IBOXHY Index	
159384669	AUD-BBR-BBSW-Bloomberg 6M	N/A	N/A
156456542	CMBX AAA CDSI S17 PRC CORP	CY885799	
158355415	CMBX AAA CDSI S17 PRC CORP	CY885799	
156421729	CMBX BBB- CDSI S16 PRC CORP	CY873248	
159181578	Chicago Board Options Exchange SPX Volatility Index	US12497K1007	
159441085	ABX.HE.AA.06-2	N/A	N/A
159434560	UK RPI All Items NSA	N/A	N/A
159272505	AUD-BBR-BBSW-Bloomberg 6M	N/A	N/A
157288651	CBOT Ultra Long-Term U.S. Treasury Bond Futures	WNZ5 Comdty	
158933743	CME E-mini Financial Select Sector Futures	IXAZ5 Index	
159747694	KFE KOSPI 200 Index	KOSPI2	
158144108	S&P 500 Index	SPX	
159342927	CMBX.NA.AAA.10	N/A	N/A
158369694	S&P 400 Index	MID	
156375435	CMBX BB CDSI S18 PRC INDX	CZ030007	
156367271	CMBX BBB- CDSI S16 PRC CORP	CY873248	
156380049	CMBX BBB- CDSI S17 PRC INDX	CY885802	
161043161	Euronext Amsterdam Index Futures	EOX5 Index	
