HOLDING_ID	RATE_RESET_TENOR_ID	RECEIPT_OR_PAYMENT	RESET_DATE	RESET_DATE_UNIT	RATE_TENOR	RATE_TENOR_UNIT
157288293	1460297	REC	Month	12	Month	12
156418452	1456991	REC	Month	1	Month	1
156418879	1456994	PMNT	Day	1	Day	1
156400892	1456892	PMNT	Day	1	Day	1
156394520	1456815	PMNT	Day	1	Day	1
156398318	1456866	PMNT	Day	1	Day	1
156443424	1457022	PMNT	Month	12	Month	12
157662988	1470675	REC	Day	1	Year	1
157670411	1470854	REC	Day	1	Year	1
159274796	1493770	REC	Day	1	Day	1
156412765	1456960	REC	Day	1	Day	1
156410926	1456955	REC	Month	1	Month	1
156397462	1456857	PMNT	Day	1	Day	1
156396789	1456844	PMNT	Day	1	Day	1
156380030	1456653	REC	Month	12	Month	12
156370656	1456617	PMNT	Month	12	Month	12
156451782	1457038	REC	Month	12	Month	12
158179351	1481131	PMNT	Month	1	Day	122
157665456	1470733	REC	Day	1	Year	1
157665635	1470776	REC	Day	1	Year	1
157670365	1470837	PMNT	Day	1	Year	3
157919717	1474265	REC	Day	1	Day	10229
156413889	1456966	REC	Month	1	Month	1
156419307	1456997	PMNT	Day	1	Day	1
156359107	1456563	PMNT	Month	12	Month	12
157665452	1470732	PMNT	Day	1	Year	1
157665529	1470751	PMNT	Month	6	Month	6
157907274	1473957	REC	Day	1	Day	10961
157670437	1470861	REC	Day	1	Year	1
157674117	1470886	REC	Day	1	Year	1
157670401	1470849	PMNT	Day	1	Year	4
156414593	1456970	REC	Day	1	Day	1
156418744	1456993	REC	Month	12	Month	12
156404945	1456923	PMNT	Month	12	Month	12
156084888	1455524	REC	Day	1	Year	1
156395213	1456823	PMNT	Day	1	Day	1
156396910	1456849	PMNT	Month	6	Month	6
156399059	1456876	PMNT	Day	1	Day	1
156249878	1456117	PMNT	Month	1	Day	978
156452830	1457043	REC	Month	12	Month	12
157662818	1470659	PMNT	Day	1	Year	1
157664095	1470696	PMNT	Day	1	Year	1
157668228	1470812	REC	Day	1	Year	1
158181561	1481132	PMNT	Month	1	Day	122
157907828	1473963	PMNT	Day	2214	Day	2214
157909663	1473972	PMNT	Day	0	Day	0
157924688	1474547	PMNT	Day	0	Day	0
157674109	1470884	REC	Day	1	Year	1
156406420	1456936	REC	Month	12	Month	12
156417674	1456986	REC	Month	1	Month	1
156398677	1456871	PMNT	Day	1	Day	1
156392564	1456790	PMNT	Day	1	Day	1
156406614	1456938	PMNT	Day	1	Day	1
156397804	1456860	PMNT	Day	1	Day	1
156389789	1456765	PMNT	Day	1	Day	1
156369843	1456612	REC	Month	12	Month	12
156457745	1457055	PMNT	Month	12	Month	12
158179277	1481123	PMNT	Month	1	Day	335
158179342	1481130	PMNT	Month	1	Day	700
157664151	1470705	PMNT	Day	1	Year	1
157915760	1474044	REC	Day	1	Day	10963
158373141	1481691	PMNT	Month	1	Day	122
157670407	1470852	REC	Day	1	Year	1
157674105	1470883	REC	Day	1	Year	1
157670423	1470857	PMNT	Day	1	Year	4
156396481	1456840	REC	Month	6	Month	6
156401761	1456899	REC	Month	12	Month	12
156405640	1456930	REC	Month	6	Month	6
156084890	1455525	REC	Day	1	Year	1
156348960	1456517	PMNT	Month	12	Month	12
156350759	1456529	PMNT	Month	12	Month	12
156389383	1456760	PMNT	Month	6	Month	6
158179230	1481118	PMNT	Month	1	Day	335
157661698	1470601	REC	Day	1	Year	1
157664211	1470715	REC	Day	1	Year	1
157668082	1470803	PMNT	Day	1	Year	1
157670334	1470828	PMNT	Day	1	Year	1
157668192	1470811	PMNT	Month	6	Month	6
158373178	1481697	PMNT	Month	1	Day	700
157667602	1470788	REC	Day	1	Year	1
157667614	1470791	REC	Day	1	Year	1
158243311	1481325	PMNT	Day	3618	Day	3618
158499226	1481856	REC	Day	1	Day	0
158506774	1481892	REC	Day	0	Day	0
159183928	1491131	PMNT	Day	1	Month	0
