HOLDING_ID	PAYOFF_PROFILE	EXPIRATION_DATE	NOTIONAL_AMOUNT	CURRENCY_CODE	UNREALIZED_APPRECIATION
159185822	Short	29-DEC-2025	-151702800	GBP	-145617.74
157667654	Short	15-DEC-2025	-1997165816.88	EUR	298691.46
156235874	Short	19-DEC-2025	-584074943.09	USD	-2257088.16
160413245	Long	18-DEC-2025	14901582.22	CAD	233381.88
159750854	Short	15-DEC-2027	-37656419.92	GBP	-1654.43
159751143	Long	30-DEC-2025	215449130	USD	3773990
160457192	Long	19-DEC-2025	999007262.8	EUR	40727171.54
157907678	Long	19-DEC-2025	2678817450.02	USD	25633565.6
156084161	Long	17-SEP-2025	2552019975	USD	-1214487.72
159301330	N/A	09-DEC-2025		EUR	
158369846	Long	19-DEC-2025	745793479.86	USD	4027363.89
159128233	Short	19-DEC-2025	-8275937.5	USD	-20074.54
159736596	Long	19-DEC-2025	514977711.76	USD	-1844352.38
158497479	Short	14-SEP-2026	-15658098.46	USD	29785.51
159346690	N/A	20-DEC-2025		USD	
158711486	Long	19-DEC-2025	79748644.71	USD	1116355.29
156414362	Short	08-DEC-2025	-2102753.86	EUR	-7043.35
159185510	Short	11-DEC-2025	-1344968964	JPY	-208913.93
158185785	Long	19-DEC-2025	95073774	USD	-431214
158243063	Long	19-DEC-2025	571734170.12	USD	890829.88
158243051	Long	14-MAR-2028	0	USD	
159269063	Short	31-DEC-2025	-462375457.59	USD	-380573.44
160884495	Long	31-DEC-2025	72041062.5	USD	356037.15
158144108	Long	19-DEC-2025	293744963.86	USD	4107786.14
157912543	Short	08-DEC-2025	15888653.2	EUR	-17552.05
159303708	Short	08-DEC-2025	-581299568.42	EUR	-2113577.12
156455895	Short	29-DEC-2025	-2313937.37	GBP	-4375.93
155970447	Long	19-SEP-2025	346518043.57	USD	1582436.43
159174631	Short	19-DEC-2025	-70986562.5	USD	-264657.41
157667664	Long	10-DEC-2025	493598680.22	EUR	565360.95
158243042	Short	16-MAR-2027	0	USD	
155869402	Long	19-SEP-2025	40903889.95	USD	198072.55
159444649	Short	16-JUN-2026	-602416856.25	USD	8228658.73
157288651	Long	19-DEC-2025	945745153.34	USD	26761096.66
158355694	Long	19-DEC-2025	6518305.39	USD	86850.86
160638159	Long	19-DEC-2025	711551977.49	USD	4679587.51
159171781	Short	08-DEC-2025	-1515711730	EUR	-2556344.54
157927077	Long	19-DEC-2025	9025637.5	USD	12747.5
157927885	Long	19-DEC-2025	1331173.69	USD	-16693.69
158185778	Long	19-DEC-2025	48993368.39	USD	536444.11
159753536	Long	29-JAN-2026	401875	USD	-450
159753293	Short	01-APR-2026	-1496120	USD	660
159751362	Long	09-DEC-2025	139063211.63	EUR	354602.63
159390690	Short	08-DEC-2025	-537621.28	EUR	-12214.54
159388629	Long	19-DEC-2025	1164406637.99	USD	5043090.76
160888863	Long	18-MAR-2026	48112500	USD	-25246
160888849	Short	22-DEC-2025	-13241191.36	JPY	69771.07
159647612	Short	31-DEC-2025	-424746665.42	USD	-1847943.96
157756848	Short	31-DEC-2025	-116459067.56	USD	-1248505.99
156392843	Short	19-DEC-2025	-6206305.43	USD	35117.93
156441852	Long	19-DEC-2025	19690916.96	USD	111833.04
160399209	Long	19-DEC-2025	1801992791.39	USD	-4763713.26
156270574	Short	19-SEP-2025	-19475980.585478	USD	-1236819.414522
160904422	Short	10-DEC-2025	-37881911.56	EUR	-472801.96
158496231	Short	08-DEC-2025	-8654062.25	USD	-98025.31
158506147	Long	15-DEC-2025	227394643.93	USD	-860428.91
156418266	N/A	26-SEP-2025		EUR	
159183074	Long	08-DEC-2025	96278020	EUR	-3521.73
159177947	Short	08-DEC-2025	-64072800	EUR	139427.54
157666225	Long	03-NOV-2025	9183076254	USD	-2903295.76
158217979	Short	08-DEC-2025	-16730703.28	EUR	17996.14
161151414	Long	19-DEC-2025	635513490.73	USD	13735809.27
159994077	Long	19-DEC-2025	196945264.17	USD	5494035.83
159268178	Long	18-DEC-2025	351444449.23	CAD	7336862.61
157920625	Long	19-DEC-2025	1114576724.61	USD	-3751724.61
156270568	Short	19-SEP-2025	-195368430.248073	USD	-12406844.751927
158276488	Long	19-DEC-2025	40025479.03	USD	249520.97
159343485	Long	14-SEP-2027	1693768300	USD	15315838.93
158228803	Long	19-DEC-2025	8619208.38	USD	8729.12
159427688	Long	19-DEC-2025	682456078.13	USD	19588797.93
156460862	Long	19-DEC-2025	47444304.27	USD	269617.61
161041769	Short	15-DEC-2025	-26520331090	JPY	834281.29
160383283	Short	08-DEC-2025	-124990393.5	EUR	27345.92
159169855	Long	15-DEC-2026	96123625	USD	111536.64
159747587	Long	01-JAN-2026	7901520	USD	-13080
158236163	Long	19-DEC-2025	7343265.05	USD	69359.95
156613846	Long	31-DEC-2025	2063540684.63	USD	2794221.23
157906906	Short	29-DEC-2025	8539195.44	GBP	-12754.49
156492164	Short	31-DEC-2025	-427239137.7	USD	-1659424.8
160911503	Long	18-MAR-2026	48112500	USD	-73363.4
158369892	Long	19-DEC-2025	256991004.27	USD	243526.98
158579735	Long	19-DEC-2025	666716918.2675	USD	14637769.24
161041742	Long	18-DEC-2025	119289705.64	CAD	309304.02
160400435	Short	29-DEC-2025	-22671746.82	GBP	-709155.82
159370335	Short	19-DEC-2025	-12137359.38	USD	-310249.08
158249211	Long	19-DEC-2025	25773093.87	USD	-140733.87
158363194	Short	31-DEC-2025	-77472909.54	USD	173690.79
160387464	Long	19-DEC-2025	596823807.26	USD	23898392.74
159344903	Long	08-DEC-2025	17842623.2	EUR	4953.01
159736470	Long	19-DEC-2025	284388156.38	USD	-1520906.38
158503578	Short	19-DEC-2025	-8639392.85	USD	-120982.15
156369531	Long	31-DEC-2025	2256849917.26	USD	11004582.74
160524608	Long	08-DEC-2025	1117160369.44	EUR	-76804.65
160629854	Long	19-DEC-2025	102004804.36	USD	2136295.64
160488116	Long	19-DEC-2025	26379430.2	USD	7939.8
159750573	Short	16-DEC-2025	-211017102.83	AUD	50707.95
159748998	Short	15-SEP-2026	-298894368.79	GBP	227458.77
159750239	Long	31-OCT-2025	36174810	USD	89910
156614670	Long	19-DEC-2025	756330031.25	USD	3847766.58
161041781	Short	21-NOV-2025	-23389311.3	EUR	-556891.33
161041733	Long	19-DEC-2025	117747155.35	EUR	324211.79
159086260	Long	19-DEC-2025	3822373777.35	USD	25688722.65
156270562	Short	19-SEP-2025	-170751383.36	USD	-19425066.64
157756815	Long	06-JAN-2026	1558820331.2	USD	697953.71
158303118	Long	19-DEC-2025	3674016.13	USD	-59196.13
156396640	N/A	26-SEP-2025		USD	
159382955	Short	16-JUN-2026	-51628837.5	USD	705283.67
