HOLDING_ID	CURRENCY_SOLD_AMOUNT	DESC_CURRENCY_SOLD	CURRENCY_PURCHASED_AMOUNT	DESC_CURRENCY_PURCHASED	SETTLEMENT_DATE	UNREALIZED_APPRECIATION
161041525	127000	EUR	150229.32	USD	17-DEC-2025	3485.62
161041416	142887500	JPY	944494.68	USD	19-DEC-2025	13124.98
161041503	891624.5	EUR	827000	CHF	17-DEC-2025	2634.44
161041605	453000000	JPY	3004222.23	USD	17-DEC-2025	52094.01
161041543	1222000	EUR	1430879.88	USD	17-DEC-2025	18905.1
161041533	45029.4	USD	38000	EUR	17-DEC-2025	-1121.84
161041613	3453467.3	USD	4457000	SGD	17-DEC-2025	-18024.38
161041625	8194779.45	USD	7020000	EUR	17-DEC-2025	-83434.95
161041515	301000	EUR	354743.25	USD	17-DEC-2025	6949.13
161041539	1326580.31	USD	1125000	EUR	17-DEC-2025	-26685.36
161041593	69269000	ZAR	3970874.1	USD	17-DEC-2025	-12660.23
161041599	2283000	GBP	3042887.87	USD	17-DEC-2025	43547.26
161041591	12497000	SEK	1136620.78	EUR	17-DEC-2025	-5515.52
161041645	930691.73	USD	797000	EUR	17-DEC-2025	-9788.37
161041418	3544314.72	USD	517594000	JPY	19-DEC-2025	-170532.08
161041637	4990593.04	USD	4290000	EUR	17-DEC-2025	-33660.29
161041581	333000	EUR	387928.55	USD	17-DEC-2025	3159.64
161041629	520547.6	USD	444000	EUR	17-DEC-2025	-7522.39
161041501	3412000	SGD	2679742.22	USD	17-DEC-2025	49782.33
161041549	2340986.45	USD	1992000	EUR	17-DEC-2025	-39305.79
161041559	831000	CHF	893482.38	EUR	17-DEC-2025	-5483.48
161041575	1255770.42	USD	1068000	EUR	17-DEC-2025	-21736.81
161041511	3344512715	JPY	22930696.53	USD	17-DEC-2025	1135044.48
161041635	586763.81	USD	504000	EUR	17-DEC-2025	-4410.87
161041491	1605000	GBP	2175135.8	USD	17-DEC-2025	66532.35
161041565	1171260.7	USD	871000	GBP	17-DEC-2025	-26965.62
161041563	314000	EUR	369852.4	USD	17-DEC-2025	7037.28
161041493	14928000	SEK	1356520.01	EUR	17-DEC-2025	-7979.43
161041595	5235000	AUD	3401566.37	USD	17-DEC-2025	-25307.06
161041643	503000	EUR	588119.17	USD	17-DEC-2025	6921.69
161041412	3414544000	JPY	23294111.23	USD	19-DEC-2025	1037421.13
161041527	176556.01	USD	148000	EUR	17-DEC-2025	-5547.61
161041607	7340000	EUR	8549167.38	USD	17-DEC-2025	68074.98
161041561	603886.75	USD	512000	EUR	17-DEC-2025	-12290.11
161041531	4036152.42	USD	3387000	EUR	17-DEC-2025	-122602.02
161041651	7322673.67	USD	6291000	EUR	17-DEC-2025	-53661.09
161041553	782000	GBP	1048459.46	USD	17-DEC-2025	21090.05
161041589	1732293.75	USD	1491000	EUR	17-DEC-2025	-9499.64
161041555	360000	EUR	424230.01	USD	17-DEC-2025	8263.63
