ACCESSION_NUMBER	INTEREST_RATE_RISK_ID	CURRENCY_CODE	INTRST_RATE_CHANGE_3MON_DV01	INTRST_RATE_CHANGE_1YR_DV01	INTRST_RATE_CHANGE_5YR_DV01	INTRST_RATE_CHANGE_10YR_DV01	INTRST_RATE_CHANGE_30YR_DV01	INTRST_RATE_CHANGE_3MON_DV100	INTRST_RATE_CHANGE_1YR_DV100	INTRST_RATE_CHANGE_5YR_DV100	INTRST_RATE_CHANGE_10YR_DV100	INTRST_RATE_CHANGE_30YR_DV100
0001193125-25-293300	322365	USD	1780804.799667	-9451323.6648948	-18525067.0886348	-19009398.4341625	-12349974.0682599	177380183.774689	-945271899.2902271	-1848945929.37954	-1921961934.93276	-1146507502.7779901
0000105544-25-000027	323118	USD	-50281.56427288	-1852490.52648892	-4981974.88861495	-7386469.79105423	-4866131.79592969	-4873750.19149621	-184298401.5208265	-490442652.4634787	-709830706.1466445	-448449825.8304987
0000794105-25-000143	323372	USD	-144552.27405397	-22210218.95617522	-55847586.15109149	-73449569.1305129	-43012953.24111767	-23488230.88816445	-2218171079.821828	-5513120172.213001	-7244110815.870535	-4008005831.296369
0001193125-25-293305	322328	USD	1131965.9107468	-8132616.0531847	-15113557.1225089	-15157471.6732189	-9795561.2523488	112710671.855224	-812298893.473889	-1508875447.37042	-1544277629.85496	-914469296.3543071
0001003715-25-001337	322999	MXN	0	981.272121	3252.056355	27101.982032	3590.623553	0	76904.002609	294278.534955	2656137.747063	352917.422789
0001099263-25-003640	323655	USD	0	0	0	0	0	0	0	0	0	0
0000894189-25-015336	323887	USD	186075.318748	2256745.188361	6498810.260693	12362597.776276	11945228.010176	18607531.878877	225674518.856771	649881026.098642	1236259777.668068	1194522801.045773
0002071691-25-004164	320860	USD	-85431.39398	2578560.03869	9280882.59683	13274653.34573	6947606.67472	7705987.58705	-30104911.41756	-642960892.4575	-1194622647.70799	-1132249895.37009
0002071691-25-007650	324680	GBP	-2099.43	2283.68	14200.57	249.82	-33.64	-194585.1	392943.18	2603698.95	47563.47	-3364.35
0002071691-25-007650	324679	EUR	-17650.72	16542.14	128424.6	5238.09	-1.2	-1601773.01	2951661.13	23779374.7	847243.86	517.97
0000836906-25-000263	323161	AUD	128.71951595	.02114699	0	0	0	12817.74346759	2.10359118	0	0	0
0000836906-25-000263	323164	USD	214989.65790338	-2893300.84600685	-4765682.6536918	-2856585.75932209	-633789.43895586	14157434.99888049	-294267399.121236	-473246214.2913377	-290135722.023024	-60658243.21116401
0000889519-25-000042	323220	USD	-7278.892055	-1533036.49813493	-3863180.76408003	-5052516.72246701	-2961497.27093659	-1402805.12553339	-153172597.7257561	-381394194.1079734	-498214635.4489847	-275803277.906764
0001099263-25-003622	323588	USD	0	0	0	0	0	0	0	0	0	0
0002071691-25-003725	320204	USD	45888.29	528995.18	5024794.86	11966314.02	55863988.92	4040034.45	52974234.87	503105124.73	1190493625.89	5655419019.09
0001193125-25-299124	324496	USD	540012.49	3701772.07	15132496.82	23738755.39	19097951.65	52004354.7	362033775.89	1510726704.71	2385089435.74	2041253328.9
0002071691-25-007667	324877	EGP	760.5	4028.73	2629.29	0	0	0	0	0	0	0
0002071691-25-007667	324893	NZD	1001.33	0	0	0	0	100044.74	0	0	0	0
0001532203-25-000066	328840	CHF	1286.07103602	-60223.08061081	-271823.54107085	-635464.02922792	-268675.660007	127970.00690705	-5972807.53936999	-26606101.97008224	-60544549.22425763	-24598970.13147941
0001532203-25-000066	328846	GBP	695.92137285	-495427.59179394	-1462768.77384296	-2756787.38695577	-1917082.10123249	155818.71350141	-49167965.61470301	-143719124.8893484	-263885698.3965366	-173291679.1934964
0001532203-25-000066	328855	NOK	193.76272752	-7006.57178451	-55789.66655306	-51485.89618889	-5375.81729627	19277.0464255	-695156.72352209	-5453789.68757858	-4945806.4102758	-523648.47271062
0001099263-25-004419	325100	THB	0	14578.085552	60649.678665	13473.853173	0	0	1424685.626781	5898130.235813	1288619.547677	0
0001099263-25-004472	325681	CAD	0	3561.625302	349.195103	0	0	0	352786.230178	34553.804163	0	0
0001099263-25-004485	325966	BRL	104675.818078	672986.114594	125727.74516	0	0	10401558.565831	66517349.787287	12344736.220774	0	0
0001099263-25-004485	325959	ZAR	0	244217.318333	833323.655912	209041.792167	0	0	23977101.028678	80658016.171214	19950132.981326	0
0001099263-25-004485	325960	NGN	14197.231932	22875.120196	0	0	0	1411137.625265	2273653.419924	0	0	0
0001193125-25-334214	329622	USD	-15258.65	-3089149.23	-6565447.51	-4682240.97	-2388886.34	-2356430.84	-318565708.18	-680231530.67	-471929172.27	-221884094.44
0001532203-25-000068	328926	JPY	47687.9642166	-576998.92185423	-1956217.05705381	-6706596.87964661	-5198000.50060046	4755503.92439113	-57255544.85696348	-192094191.2346928	-640027749.6593006	-474177488.9675829
0001532203-25-000068	328927	KRW	22234.11072416	-188174.41138326	-475755.9269731	-1091633.7302015	-1615691.76186781	2216942.80990476	-18666519.79967191	-46688556.18113127	-104581548.2164314	-145419858.7733466
0001532203-25-000068	328917	CNY	9241.15800458	-93774.91947805	-331928.4011508	-283266.99690433	-220126.70128754	919190.52074004	-9287981.07540743	-32487447.2775955	-27311393.21686802	-19572519.6647348
0001532203-25-000068	328918	CZK	190.379783	-23713.22423483	-113962.98009154	-113963.08809286	-18331.78330589	18941.27158196	-2352440.60531407	-11169259.09646256	-10955927.52883602	-1673725.71787196
0001410368-25-043387	329652	USD	70238.3	752181.4	2907518.94	259743.82	41120.4	11013612.84	132793921.8	560118105.89	47917547.23	7973344.49
0001099263-25-004413	325165	PEN	0	1137.140644	190201.308105	45193.56257	29.692626	0	110511.565619	18340753.285814	4337460.163115	2770.342279
0001099263-25-004476	325469	AUD	0	79285.480676	197658.07803	90678.150186	0	0	7724186.954396	19142347.475231	8614775.4208	0
0001099263-25-004484	325745	BRL	7115.951285	37415.390913	8571.691047	0	0	707153.007396	3696459.693761	841444.882379	0	0
0001193125-25-334136	329604	CAD	-54892.99	-76881.18	-21112.25	12441.84	-5479.22	-5489905.76	-7674251.3	-2069655.32	1222102.34	-511194.25
0001099263-25-004447	325254	USD	105758.803593	31421.999722	63.752254	0	0	10591776.613949	3127769.797252	6337.360835	0	0
0000225997-25-000214	328888	USD	-87036.41037599	-3707194.39886151	-13270469.69786592	-29291080.62225377	-7570950.60010987	-9454348.22088144	-376941697.6152858	-1384394704.347967	-3001988616.874949	-773676561.257866
0002071691-25-009449	328371	USD	32983.92	1411279.22	7197936.84	5026212.13	4897737.6	3142439.79	144627064.1	738068463.48	506204202.67	489745143.07
0001193125-25-293287	322374	BRL	104.7261416	5604.6611347	430.6193099	-137946.3711243	-342581.8442383	10415.1524029	557059.2601013	43642.6516724	-13293089.7480469	-31216320.71875
0002071691-25-006501	322619	USD	-36495.2	-854536.14	-5133015.21	-4777774.57	-5593454.7	-3649520.08	-85453613.96	-513301521.42	-477777457.42	-559345470.26
0002071691-25-007650	324682	USD	94075.44	704090.42	3183215.44	372345.92	18566.01	14902437.7	126392723.92	573629867	58997395.67	2253982.03
0002071691-25-007650	324678	CHF	-97.62	303.66	0	0	0	-9519.91	63846.44	0	0	0
0000794105-25-000139	323176	USD	9334.46748951	-1480855.71642204	-5094237.49522269	-5850225.69413604	-3324736.98983438	929916.91605578	-147280268.7783198	-499584292.3498574	-561029656.2212368	-305070417.7999174
0000794105-25-000138	323178	USD	-151698.61677421	-24671118.02933939	-61657667.86757106	-81045037.81373951	-47756264.92288869	-25728225.9162018	-2464536368.944462	-6087243553.660386	-7993733610.494791	-4449146489.791577
0000035402-25-002218	323334	USD	60827.0722393	1142908.90401725	7835050.9554862	8791266.91043231	7692427.24085819	6082703.26680325	114290873.806623	783505075.917705	879126701.822042	769242734.166862
0000940400-25-010634	323560	AUD	-4278.17	2227.64	31337.27	142212.9	0	-4607.19	84496.46	52657.68	0	0
0000035402-25-001446	320453	EUR	509.10592665	15683.05569589	132615.8694801	84358.70711678	8270.47222414	50910.76084001	1568305.54230696	13261586.9485719	8435870.70516137	827047.19488903
0001193125-25-295368	322882	EUR	0	0	0	0	0	0	0	0	0	0
0001193125-25-296899	323717	USD	74996	890238	5774053	4924181	552845	7103410	93836644	605709957	495110962	51754087
0001410368-25-032026	324401	USD	-673314.91	0	0	0	0	-67272868.63	0	0	0	0
0002071691-25-007667	324880	HKD	-18203.29	2839.7	18107.3	7757.96	0	-1415817.28	345670.92	2374959.42	772615.99	0
0002071691-25-007667	324899	SGD	-1203.23	-4993.98	13505.3	12837.56	7918.11	0	0	0	0	0
0002071691-25-007667	324905	UZS	.76	32.3	0	0	0	76.27	3230.33	0	0	0
0002071691-25-007667	324874	CZK	-5993.66	1627.83	157735.92	10191.24	0	-600964.99	163054.72	15783930.51	1014873.85	0
0002071691-25-007667	324882	IDR	-4657.11	10726.16	69323.75	99064.89	5417.4	-463462.4	1071755.46	6959771.21	9904018.45	543592.75
0002071691-25-007667	324891	NGN	1192.14	0	0	0	0	119431.79	0	0	0	0
0002071691-25-007667	324875	DKK	-102.2	0	0	0	0	-10211.48	0	0	0	0
0002071691-25-007667	324881	HUF	-5526.48	27800.85	10255.24	11681.02	0	-553818.36	2780152.44	1026176.58	1169652.04	0
0002071691-25-007667	324896	PLN	6976.59	-43255.39	79002.63	58704.41	0	0	0	0	0	0
0002071691-25-007667	324902	TWD	-2203.58	360.99	42154.39	0	0	-232697.94	36099.16	4215438.89	0	0
0002071691-25-007667	324866	AUD	-19561.84	-39112.12	286748.69	494514.97	4228.45	-1088667.92	-3742478.11	22953562.28	21613571.3	422844.78
0002071691-25-007667	324867	BRL	418.79	3354.95	293025.93	0	0	111174.14	2548129.65	21163001.28	0	0
0002071691-25-007667	324897	RON	196.21	0	0	0	0	19360.91	0	0	0	0
0001532203-25-000066	328862	THB	6219.68178132	-52146.447536	-137146.56867415	-427942.12813861	-370724.24938398	620170.75222065	-5173214.50451698	-13467000.73535661	-40794475.94891614	-33009914.59188483
0001532203-25-000066	328844	DKK	486.55383818	-29219.52958747	-108864.69941976	-116037.78916543	-28237.24552636	48419.94959319	-2896947.27309959	-10666456.67506283	-11137360.86461001	-2660502.50275842
0001532203-25-000066	328863	USD	-741377.28666263	0	0	0	0	-73934797.25009874	0	0	0	0
0001532203-25-000066	328848	HUF	67.76911472	-14845.52629022	-28578.72224088	-24214.29917435	-3307.62584361	6748.66149934	-1470221.93339449	-2802782.5714355	-2319675.40806939	-325696.05921317
0001099263-25-004419	325113	HUF	73.130645	0	0	0	0	7305.604835	0	0	0	0
0001099263-25-004419	325107	CZK	-142.561287	1874.110059	1556.407466	0	0	-14252.166963	183112.835898	152021.970004	0	0
0001099263-25-004485	325961	NZD	0	84428.680464	106370.599477	0	0	0	8263726.991419	10411362.455969	0	0
0001099263-25-004485	325967	EGP	0	70760.982559	16329.457514	0	0	0	6991636.121186	1613454.489504	0	0
0001099263-25-004485	325971	JPY	-4051.805894	-1585977.518449	-3283722.421729	-1503300.409111	-41374.760006	-401207.812584	-155176623.696831	-319353266.392949	-142664721.951478	-4021141.986726
0000106444-25-000235	328832	EUR	1314.34482729	-12532.58076006	-46897.61379438	51922.62443412	-8454.60783393	130317.59657467	-1261274.55710648	-4648401.74717565	4893681.13241544	-852094.25236569
0001532203-25-000068	328925	ILS	936.52614328	-29767.1985109	-73669.80929442	-152795.0511197	-78848.52619243	93190.15797853	-2950220.70229679	-7237399.61655775	-14599737.42877248	-7297704.99240451
0001099263-25-004413	325167	ZAR	0	4081.209457	174046.430192	84640.765823	0	0	397421.026627	16703826.575608	8067596.185322	0
0001099263-25-004413	325162	USD	155644.470903	3156522.778451	12422828.960387	8575759.627753	2862948.613335	76621389.153361	353357906.847039	1344766584.724862	812975593.155874	258122992.513444
0001099263-25-004413	325160	NZD	0	56689.602691	8150.026927	0	0	0	5601110.263519	805026.758486	0	0
0001099263-25-004484	325742	USD	-3915.180166	1039114.733166	2234130.537459	-180016.602011	-314146.684233	643077.114255	141777618.115328	261469703.474747	-15440793.242216	-27950564.862565
0001099263-25-004447	325255	GBP	183.754113	0	0	0	0	18367.385312	0	0	0	0
0001099263-25-004447	325253	CAD	1043.106061	0	0	0	0	104255.009423	0	0	0	0
0000913181-25-000365	327050	EUR	6314.0388576	10244.1507408	19380.7869229	1921.9844087	-.0180664	631403.8857649	1024415.074077	1938078.6922949	192198.4408732	-1.8066448
0000913181-25-000365	327052	USD	119570.8314588	2343105.1666961	5074179.7747001	6447004.4925424	4211269.8195316	11957083.1458798	234310516.669605	507417977.470006	644700449.254243	421126981.953158
0000035402-25-001447	320459	USD	100461.29044721	3563837.40886864	9552098.42806741	13503326.1414132	11833146.9845216	10046130.3545029	356383743.476161	955209838.176267	1350332622.28349	1183314692.63189
0001193125-25-293287	322369	MXN	721.8116186	-13293.9344177	-40169.5373573	-12777.8769608	-7058.7711782	72096.5447693	-1321116.9570313	-3949102.9472656	-1235222.3781128	-668409.5098877
0001099263-25-003630	323590	USD	0	0	0	0	0	0	0	0	0	0
0000894189-25-015338	323888	USD	310733.628133	1874794.588623	4766585.757685	8536010.978874	7714545.918522	31073362.818183	187479458.883147	476658575.796936	853601097.91826	771454591.872544
0000940400-25-010634	323562	USD	35865.67	688606.06	3920255.75	2732750.21	2874827.98	-225663.1	49725420.92	311095033.1	233772060	223940242.3
0001099263-25-001808	320326	USD	0	0	0	0	0	0	0	0	0	0
0002071691-25-007667	324901	TRY	363.43	989.88	4225.96	435.05	0	27632.35	98519.59	423773.48	43022.68	0
0002071691-25-007667	324894	PEN	-544.37	753.63	7433.03	22625.47	0	-54753.74	74639.62	749429.88	2260703.93	0
0002071691-25-007667	324876	DOP	63.49	706.79	5427.9	12794.44	0	6348.81	70678.9	542790.17	1279443.92	0
0002071691-25-007667	324870	CLP	44.57	0	0	0	0	0	0	0	0	0
0002071691-25-007667	324879	GBP	-75173.71	231559.84	690630.45	-117094.9	166339.78	-3762311.85	22717966.98	74367611.01	-5717618.23	17163225.1
0000910472-25-005072	326902	EUR	1743449.386003	0	0	0	0	176741343.483209	0	0	0	0
0000910472-25-005072	326903	GBP	234967.214307	-124607.567776	-9932.402652	0	0	24217840.655177	-12461438.422188	-992716.252904	0	0
0001532203-25-000066	328849	IDR	5505.09392463	-57091.70315151	-202044.05249756	-333009.99751041	-86508.79653693	549800.05132189	-5664134.04962238	-19820758.90873922	-31902495.48196384	-8169639.32714411
0001532203-25-000066	328850	ILS	792.79954951	-22400.56550126	-64917.17841594	-132411.22514162	-64479.57689681	78887.91240115	-2220145.23487858	-6370067.58881345	-12658383.06527255	-5968544.006047
0001532203-25-000066	328853	MXN	-547.98120229	-65252.45245841	-151912.98163152	-184700.94735953	-58826.45977181	-54561.38311576	-6472484.01136463	-14922386.40750824	-17708076.31087141	-5526876.59169399
0001099263-25-004419	325110	CAD	34537.248935	67527.895993	259307.866638	204497.667141	50480.794177	3439220.237047	6639967.314069	25048810.237917	19063633.701003	4464644.569938
0001099263-25-004419	325114	SGD	0	-18165.71923	-329011.147325	3634.918595	79869.338031	0	-1767694.773397	-31975883.849286	-262717.494189	6972702.035296
0001099263-25-004419	325108	RON	-2107.391523	-111.408032	0	0	0	-210411.825984	-11117.701046	0	0	0
0001099263-25-004419	325115	BRL	10274.132717	3244.463133	0	0	0	1020720.25856	322332.730082	0	0	0
0001099263-25-004472	325678	GBP	77.248645	-1392.964396	-108.561997	0	0	7026.259537	-139643.445219	-10879.495338	0	0
0001099263-25-004485	325963	GBP	-51230.584477	661939.098081	5307229.458049	11657407.774494	-346866.713347	-4223267.260796	64455260.88947	511193405.663493	1098429004.734016	-30154043.617647
0001532203-25-000068	328930	NOK	115.74079012	-8083.24741942	-57289.27260629	-64300.3018957	-6697.63509018	11515.41348948	-802048.63016763	-5605941.83757635	-6169575.66802535	-652749.45415215
0001532203-25-000068	328914	CAD	422.33310442	-451456.37211251	-1469365.94077262	-2114092.45194722	-1705395.41026279	39552.51148489	-44839646.48450107	-144279314.7029833	-203047483.518785	-154765323.2306998
0001532203-25-000068	328933	PLN	1605.85571602	-64012.93530123	-203770.03464364	-91050.62585291	-3881.34832245	159757.86800917	-6347280.36494281	-19985021.76747449	-8871855.13101187	-367295.72463924
0000225997-25-000205	328836	USD	-125643.26039092	-1744835.82063358	-4760396.15290785	-5057595.07928499	-2827102.10283028	-12931783.46838448	-178264673.5506251	-487830262.6026683	-521300831.0989646	-286652415.3833875
0001099263-25-004484	325754	GBP	-3013.559819	27737.557085	241946.91693	504797.206339	-8316.805179	-291035.52194	2697676.315314	23303852.359724	47626881.121961	-732574.959942
0001099263-25-004484	325751	ZAR	0	14523.239641	53846.385016	14143.451358	0	0	1425603.237473	5209322.972947	1349706.939437	0
0001099263-25-004484	325749	JPY	0	-73302.306271	-151254.733515	-65763.559457	-3549.277937	0	-7168159.077733	-14719921.967649	-6226737.173361	-339283.867595
0001099263-25-004484	325743	NZD	0	5475.83332	6898.931378	0	0	0	535964.690626	675254.962259	0	0
0001193125-25-334136	329602	BRL	-2088.41	-4160.12	-15391.66	-30540.38	-41446.61	-208665.66	-413215.42	-1513759.39	-2943708.85	-3763153.41
0000106444-25-000232	328820	GBP	412.2299698	-14334.71937646	-7940.98152467	22169.06551149	2515.65712545	41114.42781137	-1427709.78634381	-791696.86056712	2098537.94143547	249768.29257133
0002071691-25-009449	328370	EUR	0	0	0	0	0	0	0	0	0	0
0001021882-25-000207	320267	USD	-56416.39269226	-1231887.55330877	-18177934.1595818	-16202465.31986489	-8464.9205046	-5631942.43501186	-122475948.8276747	-1785728227.571373	-1587123393.390226	-884940.17531485
0002071691-25-004187	320870	USD	414914.79026	1496639.50073	377045.5079	0	0	-5420272.72498	-45686096.27952	-177607492.64961	-959639.62124	51.07881
0001193125-25-293287	322371	EUR	244500.3874862	-337029.2172241	-3440.002595	510708.9488182	445905.0998535	24445449.8139682	-33455646.2495728	-303939.0180054	49270593.5842285	38671546.265625
0001410368-25-019349	320510	USD	37835.89	-5358018.57	-2042977.4	-181881.22	-19113.39	2590603.13	-541382339.72	-211650596.1	-23680491.39	-1522033.28
0001003715-25-001337	323000	PEN	0	364.65556	43467.536233	43726.475856	7.645236	0	35891.019757	4338609.615017	4356682.916377	775.993463
0001410368-25-022019	321292	EUR	-7079.16	-17584.71	-78179.46	50294.83	12871.61	-712163.72	-1840590.82	-7862946.56	4734314.89	907594.23
0000836906-25-000263	323162	EUR	-162.22928903	1898.58523543	-876.26186533	162.82045042	0	-16220.05386331	187628.70048207	-84867.41178261	13764.82573174	0
0000035402-25-001446	320454	USD	105309.35731181	1081395.79778989	6439019.2238213	7443850.61014181	7595866.90372688	10530933.3042072	108139581.053454	643901920.015867	744385071.190387	759586687.730009
0002071691-25-007667	324895	PHP	-3286.07	3054.26	54543.45	25581.22	0	-328512.11	306233.73	5464119.32	2552124.83	0
0002071691-25-007667	324903	USD	509420.69	1594988.93	5048504.55	1677686.16	2936738.12	48697134.58	216755502.35	643005527.21	250378571.97	246230592.21
0002071691-25-007667	324904	UYU	-87.68	121.94	2472.01	428.39	0	-8809.35	12193.65	247201.38	42838.96	0
0002071691-25-007667	324906	ZAR	-477.4	-23610.86	51878.64	50003.79	6279.44	-2574.73	-2361031.85	5187650.79	5010593.86	634471.44
0002071691-25-007667	324889	MXN	2307.34	23376.81	259229.2	35739.62	2735.97	269101.86	2356318.64	25972703.62	3563893.44	271643.38
0002071691-25-007667	324887	KZT	33.25	972.82	1343.46	0	0	3325.21	97282.31	134345.6	0	0
0002071691-25-007667	324864	AED	0	0	0	0	0	0	0	0	0	0
0002071691-25-007667	324890	MYR	-4216.13	2961.94	96018	94654.55	50068.15	-424013.62	296924.82	9636422.74	9470350.12	5048048.15
0002071691-25-007667	324886	KRW	-4536.71	-228305.38	427368.15	23962.68	0	-441072.47	-22835461.04	42620293.41	2002332.91	0
0000910472-25-005072	326901	CAD	222523.86072	0	0	0	0	22497240.830788	0	0	0	0
0001532203-25-000066	328854	MYR	5994.01082177	-55511.50888553	-190488.52543488	-389676.91595057	-193263.40665183	597690.37604673	-5507073.93108794	-18683351.46432263	-37203965.04360011	-18042216.87377921
