ACCESSION_NUMBER	ASSET_CAT	INSTRUMENT_KIND	NET_REALIZED_GAIN_MON1	NET_UNREALIZED_AP_MON1	NET_REALIZED_GAIN_MON2	NET_UNREALIZED_AP_MON2	NET_REALIZED_GAIN_MON3	NET_UNREALIZED_AP_MON3
0000035402-25-001329	Commodity Contracts	Forward Category	0	0	0	0	0	0
0000035402-25-001329	Commodity Contracts	Future Category	0	0	0	0	0	0
0000035402-25-001329	Commodity Contracts	Option Category	0	0	0	0	0	0
0000035402-25-001329	Commodity Contracts	Other Category	0	0	0	0	0	0
0000035402-25-001329	Commodity Contracts	Swap Category	0	0	0	0	0	0
0000035402-25-001329	Commodity Contracts	Swaption Category	0	0	0	0	0	0
0000035402-25-001329	Commodity Contracts	Warrant Category	0	0	0	0	0	0
0000035402-25-001329	Commodity Contracts		0	0	0	0	0	0
0000035402-25-001329	Credit Contracts	Forward Category	0	0	0	0	0	0
0000035402-25-001329	Credit Contracts	Future Category	0	0	0	0	0	0
0000035402-25-001329	Credit Contracts	Option Category	0	0	0	0	0	0
0000035402-25-001329	Credit Contracts	Other Category	0	0	0	0	0	0
0000035402-25-001329	Credit Contracts	Swap Category	0	0	0	0	0	0
0000035402-25-001329	Credit Contracts	Swaption Category	0	0	0	0	0	0
0000035402-25-001329	Credit Contracts	Warrant Category	0	0	0	0	0	0
0000035402-25-001329	Credit Contracts		0	0	0	0	0	0
0000035402-25-001329	Equity Contracts	Forward Category	0	0	0	0	0	0
0000035402-25-001329	Equity Contracts	Future Category	92614178.27	-56307022.87	13031575.78	-5817882.28	-1976699.74	10777724.24
0000035402-25-001329	Equity Contracts	Option Category	0	0	0	0	0	0
0000035402-25-001329	Equity Contracts	Other Category	0	0	0	0	0	0
0000035402-25-001329	Equity Contracts	Swap Category	0	0	0	0	0	0
0000035402-25-001329	Equity Contracts	Swaption Category	0	0	0	0	0	0
0000035402-25-001329	Equity Contracts	Warrant Category	0	0	0	0	0	0
0000035402-25-001329	Equity Contracts		92614178.27	-56307022.87	13031575.78	-5817882.28	-1976699.74	10777724.24
0000035402-25-001329	Foreign Exchange Contracts	Forward Category	0	0	0	0	0	0
0000035402-25-001329	Foreign Exchange Contracts	Future Category	0	0	0	0	0	0
0000035402-25-001329	Foreign Exchange Contracts	Option Category	0	0	0	0	0	0
0000035402-25-001329	Foreign Exchange Contracts	Other Category	0	0	0	0	0	0
0000035402-25-001329	Foreign Exchange Contracts	Swap Category	0	0	0	0	0	0
0000035402-25-001329	Foreign Exchange Contracts	Swaption Category	0	0	0	0	0	0
0000035402-25-001329	Foreign Exchange Contracts	Warrant Category	0	0	0	0	0	0
0000035402-25-001329	Foreign Exchange Contracts		0	0	0	0	0	0
0000035402-25-001329	Interest Rate Contracts	Forward Category	0	0	0	0	0	0
0000035402-25-001329	Interest Rate Contracts	Future Category	0	0	0	0	0	0
0000035402-25-001329	Interest Rate Contracts	Option Category	0	0	0	0	0	0
0000035402-25-001329	Interest Rate Contracts	Other Category	0	0	0	0	0	0
0000035402-25-001329	Interest Rate Contracts	Swap Category	0	0	0	0	0	0
0000035402-25-001329	Interest Rate Contracts	Swaption Category	0	0	0	0	0	0
0000035402-25-001329	Interest Rate Contracts	Warrant Category	0	0	0	0	0	0
0000035402-25-001329	Interest Rate Contracts		0	0	0	0	0	0
0000035402-25-001329	Other Contracts	Forward Category	0	0	0	0	0	0
0000035402-25-001329	Other Contracts	Future Category	0	0	0	0	0	0
0000035402-25-001329	Other Contracts	Option Category	0	0	0	0	0	0
0000035402-25-001329	Other Contracts	Other Category	0	0	0	0	0	0
0000035402-25-001329	Other Contracts	Swap Category	0	0	0	0	0	0
0000035402-25-001329	Other Contracts	Swaption Category	0	0	0	0	0	0
0000035402-25-001329	Other Contracts	Warrant Category	0	0	0	0	0	0
0000035402-25-001329	Other Contracts		0	0	0	0	0	0
0000035402-25-001335	Commodity Contracts	Forward Category	0	0	0	0	0	0
0000035402-25-001335	Commodity Contracts	Future Category	0	0	0	0	0	0
0000035402-25-001335	Commodity Contracts	Option Category	0	0	0	0	0	0
0000035402-25-001335	Commodity Contracts	Other Category	0	0	0	0	0	0
0000035402-25-001335	Commodity Contracts	Swap Category	0	0	0	0	0	0
0000035402-25-001335	Commodity Contracts	Swaption Category	0	0	0	0	0	0
0000035402-25-001335	Commodity Contracts	Warrant Category	0	0	0	0	0	0
