ACCESSION_NUMBER	MONTHLY_TOTAL_RETURN_ID	CLASS_ID	MONTHLY_TOTAL_RETURN1	MONTHLY_TOTAL_RETURN2	MONTHLY_TOTAL_RETURN3
0001410368-25-017881	904214	C000119708	6.62	1.19	2.34
0001193125-25-293300	911520	C000025102	-.322024	1.352776	.89625499
0001193125-25-293300	911531	C000179983	-.31863999	1.357332	.900835
0001193125-25-293300	911534	C000224619	-.326536	1.34822	.89167499
0001193125-25-251553	904723	C000026238	8.30666	.92940799	2.070497
0001193125-25-251558	904805	C000024478	5.20916	-.126649	2.321954
0001193125-25-251558	904814	C000024489	5.23694999	-.07263999	2.361728
0001021882-25-000207	905857	C000080855	1.90446	.19481	1.30902
0000036405-25-000239	913932	C000034427	2.40544	-.7335	1.69988951
0000036405-25-000243	914000	C000096110	2.54897	4.07695	2.04567545
0000036405-25-000240	914025	C000105305	1.74245	5.20821	.40117619
0000035402-25-001351	906208	C000019555	4.17	1.68	1.56
0000035402-25-001351	906209	C000254532	4.14	1.64	1.56
0000035402-25-002187	914594	C000252921	.67	2.55	3.21
0000862084-25-000080	914671	C000007828	2.29207	2.27853	3.47388484
0000036405-25-000238	914753	C000007774	2.23724	2.026	3.64761741
0000794105-25-000143	914775	C000075028	-.28998	1.18483	1.06222039
0001410368-25-032038	917963	C000017601	3.63	-.03	7.62
0001410368-25-032043	917964	C000019038	.88	3.44	1.75
0001193125-25-251557	904851	C000025149	1.181328	-.39673299	1.33896799
0001193125-25-251557	904859	C000025159	1.214296	-.43936399	1.453448
0001193125-25-251557	904868	C000224562	1.229512	-.347632	1.39112
0002071691-25-003685	905044	C000006436	6.69	3.53	-.85
0000035402-25-002146	914696	C000013197	.88	2.22	3.34
0001193125-25-293305	911421	C000023937	.89800999	1.59213199	2.953565
0001193125-25-293305	911422	C000023938	.85159999	1.52996	2.892368
0001193125-25-293305	911424	C000023940	.90423399	1.54986399	2.93905999
0001193125-25-293305	911432	C000023950	.93103999	1.60078399	2.972649
0001193125-25-293318	911585	C000148419	.4301	1.81220599	2.934055
0001193125-25-293318	911586	C000164815	.47850799	1.87216	2.98162
0001193125-25-293287	911538	C000164461	-.75315399	1.51856	.55817599
0001193125-25-293287	911539	C000164462	-.64828	1.522064	.588896
0001193125-25-293287	911550	C000164475	-.64945	1.52462399	.56369
0001193125-25-293287	911556	C000224628	-.645052	1.623275	.61722
0001410368-25-019349	906704	C000019994	.64	.12	.89
0001410368-25-019349	906708	C000019991	.71	.19	.97
0002071691-25-006501	911989	C000018334	.4364385	3.004605	.430966
0001099263-25-003601	915727	C000219315	3.4	.72	4.6
0000777535-25-000037	916953	C000154477	1.218775	1.723533	3.503813
0001099263-25-003630	915715	C000225816	3.69	.71	3.58
0001193125-25-251548	904678	C000024003	6.39084199	2.41876999	1.037275
0000794105-25-000139	914005	C000054349	.08446	1.51899	.46965918
0001003715-25-001305	913608	C000199641	2.26	2.1	3.04
0001410368-25-017052	903477	C000002270	2.28	-.71	3.75
0001193125-25-293324	911745	C000026252	-.32618399	3.17199499	.7237
0001193125-25-293324	911759	C000189498	-.28674999	3.21506	.75901099
0001193125-25-251567	904895	C000025069	6.92977399	1.99722999	1.76442199
0001193125-25-251567	904902	C000068598	6.91681999	1.988159	1.757278
0001193125-25-251567	904905	C000162626	6.90194999	1.99342399	1.75094299
0001193125-25-252339	905146	C000032900	3.06	.78	2.82
0000752177-25-000256	913878	C000108861	.85197	2.86871	3.30196749
0000036405-25-000242	913966	C000007797	1.85739	4.5977	.95730614
0000889519-25-000042	914064	C000007054	1.30417	1.84195	2.51556279
0001193125-25-293319	911620	C000026336	-1.42940199	3.805763	3.77641999
0001193125-25-293319	911629	C000179990	-1.39869999	3.834992	3.80888699
0001193125-25-293319	911630	C000189494	-1.418109	3.82736799	3.783806
0000794105-25-000138	914014	C000007063	-.28863	1.16569	1.04638582
0001193125-25-293283	911485	C000180008	2.04895299	1.947404	2.342317
0001193125-25-293283	911488	C000224625	2.04862399	1.94581199	2.319515
0000035402-25-002218	914642	C000052072	-.25	1.22	1.04
0001410368-25-017036	903379	C000006929	2.99	-1.03	2.82
0000940400-25-010634	915588	C000011387	-.23	1.38	1.17
0000940400-25-010634	915591	C000011390	-.21	1.51	1.19
0000035402-25-002202	915511	C000254565	2.37	-.81	1.2
0001021882-25-000204	905824	C000080844	1.16733	-.37457	1.47474
0001193125-25-296899	915978	C000086127	-.4	1.44	.84
0000777535-25-000040	917788	C000234673	3.542415	.706186	4.171506
0001193125-25-299124	918259	C000030878	-.08	1.19	1.39
0001410368-25-032041	917959	C000019037	3.42	.82	5.29
0001410368-25-032289	918416	C000019036	2.24	2.03	3.64
0001193125-25-334094	930795	C000042409	1.88346	1.98973599	1.160836
0001193125-25-301809	921833	C000077672	3.81	-.2	3.8
0001084380-25-000525	932561	C000162542	1.772492	3.417107	2.131741
0001084380-25-000525	932563	C000079551	1.755965	3.429203	2.117647
0001193125-25-334091	931035	C000042398	1.87705799	1.605177	.70259399
0001193125-25-334091	931030	C000042393	1.775894	1.62375199	.71110699
0001193125-25-334091	931042	C000179959	1.89311599	1.61864	.70787899
0001099263-25-004419	919212	C000026516	-.034055	.475731	.451888
0001099263-25-004485	919904	C000046101	.085237	1.576794	.729217
0001193125-25-334202	931234	C000024450	1.61759999	2.24051	-.37669399
0001193125-25-334214	931474	C000223654	2.67427699	1.38232	-.472339
0000035402-25-002966	929134	C000254552	1.21	5.75	5.28
0001193125-25-334203	931291	C000024464	2.549798	1.457054	-.038463
0001193125-25-334203	931303	C000077881	2.64890199	1.55355	.04727099
0000734383-25-000143	928183	C000135474	2.45168	2.73046859	.51212017
0000106444-25-000235	928207	C000007098	1.45098	1.09934493	.41828386
0001193125-25-334098	930866	C000042420	1.95590999	2.60146399	1.663098
0001193125-25-334098	930870	C000135762	1.936424	2.590928	1.60043199
0000857489-25-000149	928226	C000015902	2.97129	5.73306261	1.40871177
0001193125-25-334200	931429	C000026379	3.002832	4.226825	2.902184
0001193125-25-334200	931430	C000026380	3.019675	4.273015	2.91328
0001193125-25-334200	931435	C000026387	2.979131	4.2129	2.86305
0001193125-25-334200	931441	C000179977	3.02027199	4.273475	2.92397499
0001410368-25-043382	931565	C000012081	4.76	2.42	.92
0000736054-25-000149	928240	C000170278	4.18442	3.6390185	1.52052407
0001193125-25-334097	931083	C000042425	1.927502	2.593675	1.671036
