HOLDING_ID	OTHER_DESC	TERMINATION_DATE	UNREALIZED_APPRECIATION
159098429	rights	31-DEC-2099	0
160001910	rights	31-DEC-2099	388400.39
160010347	rights	31-DEC-2099	0
160008739	rights	31-DEC-2099	0
160021235	rights	04-DEC-2025	25512.02
160021252	rights	05-DEC-2025	937.23
160323373	rights	31-DEC-2099	443202.94
160001934	rights	31-DEC-2099	2666.08
160010199	rights	31-DEC-2099	74245.92
160015338	rights	03-NOV-2025	192.87
160021246	rights	10-NOV-2025	5950.07
160002334	rights	31-DEC-2099	0
160003843	rights	31-DEC-2099	22973.28
160004414	rights	31-DEC-2099	-188528.42
160015299	rights	17-NOV-2025	232374.93
160021241	rights	17-NOV-2025	1576.25
160004155	rights	31-DEC-2099	-2006.55
160010553	rights	31-DEC-2099	-3365.7
160011139	rights	31-DEC-2099	-264394.58
160010795	rights	31-DEC-2099	0
160010380	rights	31-DEC-2099	0
160021218	rights	17-NOV-2025	5623.19
160024554	rights	31-DEC-2099	936494.95
160029059	rights	07-NOV-2025	2687.49
160003367	rights	31-DEC-2099	0
160007447	rights	31-DEC-2099	112319.19
158882907	rights	08-OCT-2025	44951.38
160002396	rights	31-DEC-2099	650.52
160009639	rights	31-DEC-2099	0
160009394	rights	31-DEC-2099	0
160015331	rights	10-NOV-2025	-1008127.17
160011527	rights	13-NOV-2025	36304.22
160021258	rights	02-MAY-2025	0
158881291	rights	22-FEB-2029	-2903.84
160001958	rights	31-DEC-2099	121498.29
160004303	rights	31-DEC-2099	0
160009520	rights	31-DEC-2099	0
160008237	rights	31-DEC-2099	0
160010524	rights	17-NOV-2025	0
160021223	rights	25-SEP-2025	296.23
160002564	rights	31-DEC-2099	0
160003971	rights	31-DEC-2099	0
160007397	rights	31-DEC-2099	7426.34
160007345	rights	31-DEC-2099	476728.25
160008373	rights	31-DEC-2099	636.12
160021229	rights	10-NOV-2025	98317.88
