ACCESSION_NUMBER	CIK	REGISTRANT_NAME	FILE_NUM	LEI	ADDRESS1	ADDRESS2	CITY	STATE	COUNTRY	ZIP	PHONE
0001410368-25-032006	0001064641	SELECT SECTOR SPDR TRUST	811-08837	5493008JJKIPMEX3CO91	One Iron Street		Boston	US-MA	US	02210	866-732-8673
0001021882-25-000207	0001021882	VANGUARD SCOTTSDALE FUNDS	811-07803	549300Y88GQ3VLJIBX57	100 Vanguard Boulevard		Malvern	US-PA	US	19355	610-669-1000
0001021882-25-000208	0001021882	VANGUARD SCOTTSDALE FUNDS	811-07803	549300Y88GQ3VLJIBX57	100 Vanguard Boulevard		Malvern	US-PA	US	19355	610-669-1000
0001410368-25-032038	0001064641	SELECT SECTOR SPDR TRUST	811-08837	5493008JJKIPMEX3CO91	One Iron Street		Boston	US-MA	US	02210	866-732-8673
0001410368-25-032043	0001064642	SPDR SERIES TRUST	811-08839	5493004JVD6CQEEJSS37	One Iron Street		Boston	US-MA	US	02210	617-664-8594
0000035402-25-001329	0000819118	Fidelity Concord Street Trust	811-05251	EEX0N4ID1C226M44VF22	245 Summer Street		Boston	US-MA	US	02210	1-800-FIDELITY
0000035402-25-001351	0000081205	Fidelity Puritan Trust	811-00649	WDA1I420M36T9HTVU696	245 Summer Street		Boston	US-MA	US	02210	1-800-FIDELITY
0000035402-25-001475	0001364924	Fidelity Rutland Square Trust II	811-21991	1KZ3JN58GDRI3EZKKG06	245 Summer Street		Boston	US-MA	US	02210	1-800-FIDELITY
0002071691-25-007618	0001100663	iShares Trust	811-09729	5493000860OXIC4B5K91	400 Howard Street		San Francisco	US-CA	US	94105	800-474-2737
0000035402-25-001483	0001364924	Fidelity Rutland Square Trust II	811-21991	1KZ3JN58GDRI3EZKKG06	245 Summer Street		Boston	US-MA	US	02210	1-800-FIDELITY
0001193125-25-251557	0000826813	Intermediate Bond Fund of America	811-05446	R8LBW477MUD2IBLY9S75	333 South Hope Street	55th Floor	Los Angeles	US-CA	US	90071	9499755000
0002071691-25-003685	0000798250	MFS Series Trust II	811-04775	549300W3GYF777J7J466	111 Huntington Avenue		Boston	US-MA	US	02199	617-954-5000
0001410368-25-032172	0000915092	Master Investment Portfolio	811-08162	5493004HQXF0DFT60U28	100 Bellevue Parkway		Wilmington	US-DE	US	19809	800-441-7762
0001193125-25-299124	0000029440	Dodge & Cox Funds	811-00173	549300R3H2V5UI5MR803	555 California Street	40th Floor	San Francisco	US-CA	US	94104	415-981-1710
0001193125-25-299123	0000029440	Dodge & Cox Funds	811-00173	549300R3H2V5UI5MR803	555 California Street	40th Floor	San Francisco	US-CA	US	94104	415-981-1710
0002071691-25-004187	0001485894	J.P. Morgan Exchange-Traded Fund Trust	811-22903	5493001E1K1DVWDV2464	277 Park Avenue		New York	US-NY	US	10172	844-457-6383
0002071691-25-007667	0001738078	BlackRock Funds V	811-23339	54930077DSFQPJDWM487	100 Bellevue Parkway		Wilmington	US-DE	US	19809	800-441-7762
0001410368-25-019349	0000911507	LORD ABBETT INVESTMENT TRUST	811-07988	54930085JIVNI3FPKR71	30 HUDSON STREET		JERSEY CITY	US-NJ	US	07302-3973	201-827-2000
0000752177-25-000258	0000752177	VANGUARD CHESTER FUNDS	811-04098	54930034NOOD3YDKBZ64	100 Vanguard Boulevard		Malvern	US-PA	US	19355	610-669-1000
0000036405-25-000234	0000036405	VANGUARD INDEX FUNDS	811-02652	549300G6KNDK44WUN559	100 Vanguard Boulevard		Malvern	US-PA	US	19355	610-669-1000
0001410368-25-032289	0001064642	SPDR SERIES TRUST	811-08839	5493004JVD6CQEEJSS37	One Iron Street		Boston	US-MA	US	02210	617-664-8594
0002071691-25-007652	0001100663	iShares Trust	811-09729	5493000860OXIC4B5K91	400 Howard Street		San Francisco	US-CA	US	94105	800-474-2737
0001378872-25-000392	0001378872	Invesco Exchange-Traded Fund Trust II	811-21977	O540V2L4S174Y60FMD36	3500 Lacey Road	Suite 700	Downers Grove	US-IL	US	60515	800-983-0903
0002071691-25-003731	0001100663	iShares Trust	811-09729	5493000860OXIC4B5K91	400 Howard Street		San Francisco	US-CA	US	94105	800-474-2737
0001410368-25-017888	0001100663	iShares Trust	811-09729	5493000860OXIC4B5K91	400 Howard Street		San Francisco	US-CA	US	94105	800-474-2737
0001193125-25-293300	0000013075	Bond Fund of America	811-02444	F2Q0NH642XF1RP5YCC95	333 South Hope Street	55th Floor	Los Angeles	US-CA	US	90071	9499755000
0001067839-25-000007	0001067839	Invesco QQQ Trust, Series 1	811-08947	549300VY6FEJBCIMET58	3500 Lacey Road	Suite 700	Downers Grove	US-IL	US	60515	800-983-0903
0001193125-25-251553	0000719608	New Economy Fund	811-03735	J154YSXJZPP8R8ZPNM12	333 South Hope Street	55th Floor	Los Angeles	US-CA	US	90071	9499755000
0001193125-25-251558	0000894005	Capital World Growth & Income Fund	811-07338	YW4DFCLW3G60U7B5H052	333 South Hope Street	55th Floor	Los Angeles	US-CA	US	90071-1406	9499755000
0000777535-25-000042	0000777535	College Retirement Equities Fund	811-04415	549300W86TWR1A52Z652	730 Third Avenue		New York	US-NY	US	10017	212-490-9000
0001410368-25-031937	0001168164	SPDR INDEX SHARES FUNDS	811-21145	5493001XGU6MOBRXUU78	One Iron Street		Boston	US-MA	US	02210	617-664-7037
0002071691-25-007650	0001738078	BlackRock Funds V	811-23339	54930077DSFQPJDWM487	100 Bellevue Parkway		Wilmington	US-DE	US	19809	800-441-7762
0002071691-25-007646	0001100663	iShares Trust	811-09729	5493000860OXIC4B5K91	400 Howard Street		San Francisco	US-CA	US	94105	800-474-2737
0001410368-25-031990	0001064641	SELECT SECTOR SPDR TRUST	811-08837	5493008JJKIPMEX3CO91	One Iron Street		Boston	US-MA	US	02210	866-732-8673
0002071691-25-003733	0001100663	iShares Trust	811-09729	5493000860OXIC4B5K91	400 Howard Street		San Francisco	US-CA	US	94105	800-474-2737
0001410368-25-032201	0000915092	Master Investment Portfolio	811-08162	5493004HQXF0DFT60U28	100 Bellevue Parkway		Wilmington	US-DE	US	19809	800-441-7762
0000035402-25-002150	0000880195	Fidelity Aberdeen Street Trust	811-06440	EH5MGE941XHR05KZ4E50	245 Summer Street		Boston	US-MA	US	02210	1-800-FIDELITY
0000752177-25-000262	0000752177	VANGUARD CHESTER FUNDS	811-04098	54930034NOOD3YDKBZ64	100 Vanguard Boulevard		Malvern	US-PA	US	19355	610-669-1000
0000035402-25-002146	0000880195	Fidelity Aberdeen Street Trust	811-06440	EH5MGE941XHR05KZ4E50	245 Summer Street		Boston	US-MA	US	02210	1-800-FIDELITY
0001410368-25-017278	0001454889	SCHWAB STRATEGIC TRUST	811-22311	549300NAZEQOIX80E226	211 MAIN STREET		SAN FRANCISCO	US-CA	US	94105	800-648-5300
0002071691-25-003725	0001100663	iShares Trust	811-09729	5493000860OXIC4B5K91	400 Howard Street		San Francisco	US-CA	US	94105	800-474-2737
0000052848-25-000264	0000052848	VANGUARD WORLD FUND	811-01027	549300MP6BT0L4Q61L10	100 Vanguard Boulevard		Malvern	US-PA	US	19355	610-669-1000
0000752177-25-000257	0000752177	VANGUARD CHESTER FUNDS	811-04098	54930034NOOD3YDKBZ64	100 Vanguard Boulevard		Malvern	US-PA	US	19355	610-669-1000
0000752177-25-000263	0000752177	VANGUARD CHESTER FUNDS	811-04098	54930034NOOD3YDKBZ64	100 Vanguard Boulevard		Malvern	US-PA	US	19355	610-669-1000
0000036405-25-000245	0000036405	VANGUARD INDEX FUNDS	811-02652	549300G6KNDK44WUN559	100 Vanguard Boulevard		Malvern	US-PA	US	19355	610-669-1000
0001410368-25-017274	0001454889	SCHWAB STRATEGIC TRUST	811-22311	549300NAZEQOIX80E226	211 MAIN STREET		SAN FRANCISCO	US-CA	US	94105	800-648-5300
0000035402-25-001373	0000707823	Fidelity Mt. Vernon Street Trust	811-03583	0UZTS2D38E1WD4MK3K98	245 Summer Street		Boston	US-MA	US	02210	1-800-FIDELITY
0000752177-25-000253	0000752177	VANGUARD CHESTER FUNDS	811-04098	54930034NOOD3YDKBZ64	100 Vanguard Boulevard		Malvern	US-PA	US	19355	610-669-1000
0000035402-25-001445	0000035315	Fidelity Salem Street Trust	811-02105	S4W85DGKOEJ24DPRB829	245 Summer Street		Boston	US-MA	US	02210	1-800-FIDELITY
0000035402-25-001477	0001364924	Fidelity Rutland Square Trust II	811-21991	1KZ3JN58GDRI3EZKKG06	245 Summer Street		Boston	US-MA	US	02210	1-800-FIDELITY
0000826473-25-000044	0000826473	VANGUARD FENWAY FUNDS	811-05445	549300HR7W3XB5UOJ590	100 Vanguard Boulevard		Malvern	US-PA	US	19355	610-669-1000
0000752177-25-000256	0000752177	VANGUARD CHESTER FUNDS	811-04098	54930034NOOD3YDKBZ64	100 Vanguard Boulevard		Malvern	US-PA	US	19355	610-669-1000
0000794105-25-000137	0000794105	VANGUARD BOND INDEX FUNDS	811-04681	549300INE5BF80OGAZ51	100 Vanguard Boulevard		Malvern	US-PA	US	19355	610-669-1000
0000752177-25-000259	0000752177	VANGUARD CHESTER FUNDS	811-04098	54930034NOOD3YDKBZ64	100 Vanguard Boulevard		Malvern	US-PA	US	19355	610-669-1000
0000923202-25-000082	0000923202	VANGUARD TAX-MANAGED FUNDS	811-07175	549300PTTIGTMUA02X28	100 Vanguard Boulevard		Malvern	US-PA	US	19355	610-669-1000
0000836906-25-000263	0000836906	VANGUARD MALVERN FUNDS	811-05628	549300EW16IGZDA38J20	100 Vanguard Boulevard		Malvern	US-PA	US	19355	610-669-1000
0001004726-25-002038	0001100663	iShares Trust	811-09729	5493000860OXIC4B5K91	400 Howard Street		San Francisco	US-CA	US	94105	800-474-2737
0000794105-25-000138	0000794105	VANGUARD BOND INDEX FUNDS	811-04681	549300INE5BF80OGAZ51	100 Vanguard Boulevard		Malvern	US-PA	US	19355	610-669-1000
0001193125-25-295368	0001735964	Cliffwater Corporate Lending Fund	811-23333	549300H513RTF4I5T758	235 WEST GALENA STREET		MILWAUKEE	US-WI	US	53212	41429920000
0000035402-25-001486	0001364924	Fidelity Rutland Square Trust II	811-21991	1KZ3JN58GDRI3EZKKG06	245 Summer Street		Boston	US-MA	US	02210	1-800-FIDELITY
0001410368-25-017267	0001454889	SCHWAB STRATEGIC TRUST	811-22311	549300NAZEQOIX80E226	211 MAIN STREET		SAN FRANCISCO	US-CA	US	94105	800-648-5300
0001193125-25-251548	0000004405	AMCAP Fund	811-01435	OREPVS5S2E6Z93JN5V46	333 South Hope Street	55th Floor	Los Angeles	US-CA	US	90071	9499755000
0001193125-25-251567	0000044201	Growth Fund of America	811-00862	VOJHP0RJPD2FRCAXQJ44	6455 Irvine Center Drive		Irvine	US-CA	US	92618-4518	9499755000
0000035402-25-002155	0000880195	Fidelity Aberdeen Street Trust	811-06440	EH5MGE941XHR05KZ4E50	245 Summer Street		Boston	US-MA	US	02210	1-800-FIDELITY
0001193125-25-252339	0000773757	Columbia Funds Series Trust I	811-04367	549300W5GIE6ZOZOTD82	290 Congress Street		Boston	US-MA	US	02110	800-345-6611
0000940400-25-010616	0001100663	iShares Trust	811-09729	5493000860OXIC4B5K91	400 Howard Street		San Francisco	US-CA	US	94105	800-474-2737
0000940400-25-010642	0001100663	iShares Trust	811-09729	5493000860OXIC4B5K91	400 Howard Street		San Francisco	US-CA	US	94105	800-474-2737
0000940400-25-010634	0000276463	BlackRock Bond Fund, Inc.	811-02857	54930030AVOSLSPZTH36	100 Bellevue Parkway		Wilmington	US-DE	US	19809	800-441-7762
0000105563-25-000099	0000105563	VANGUARD WELLINGTON FUND	811-00121	549300X1E8M3H6XRMS84	100 Vanguard Boulevard		Malvern	US-PA	US	19355	610-669-1000
