HOLDING_ID	TRANSACTION_TYPE	IS_CLEARED	CENTRAL_COUNTER_PARTY	IS_TRIPARTY	REPURCHASE_RATE	MATURITY_DATE
159342764	Reverse repurchase	N		N	4.05	19-SEP-2027
160483935	Repurchase	N		Y	4.13	03-NOV-2025
159174015	Repurchase	N		N	3.9	
159303824	Repurchase	N		N	4.08	02-OCT-2025
159368167	Reverse repurchase	N		N	4.32	14-OCT-2025
159341729	Reverse repurchase	N		N	4.31	03-OCT-2025
159187340	Reverse repurchase	N		N	4.28	01-OCT-2025
159181138	Repurchase	N		N	3.9	31-OCT-2025
159086224	Repurchase	N		Y	4.2	01-OCT-2025
158170583	Repurchase	N		Y	4.2	01-OCT-2025
161041485	Repurchase	Y	Fixed Income Clearing Corp.	N	4.15	03-NOV-2025
159174314	Reverse repurchase	N		N	4.25	
158384611	Repurchase	N		Y	4.21	01-OCT-2025
158982430	Repurchase	N		Y	4.22	01-OCT-2025
159185956	Repurchase	N		N	1.65	
159303532	Repurchase	N		N	4.19	16-OCT-2025
159374742	Repurchase	N		N	4	01-OCT-2025
160180384	Repurchase	N		Y	4.15	03-NOV-2025
159303640	Repurchase	N		N	.15	03-DEC-2025
159289629	Reverse repurchase	N		N	3.75	19-SEP-2027
158712556	Repurchase	N		Y	4.2	01-OCT-2025
159183187	Reverse repurchase	N		N	3.75	31-OCT-2025
159183540	Repurchase	N		N	3.9	31-OCT-2025
159183569	Reverse repurchase	N		N	4.25	
159183964	Repurchase	N		N	3.91	31-OCT-2025
156249748	Repurchase	N		Y	4.33	02-SEP-2025
159271663	Reverse repurchase	N		N	4.75	31-OCT-2025
159272016	Reverse repurchase	N		N	4.25	06-OCT-2025
159345383	Reverse repurchase	N		N	2.25	19-SEP-2027
159088297	Repurchase	Y	Fixed Income Clearing Corporation	N	1.65	01-OCT-2025
159304033	Repurchase	N		N	4.29	01-OCT-2025
159190054	Reverse repurchase	N		N	2	31-OCT-2025
159370846	Reverse repurchase	N		N	4.31	14-OCT-2025
160487487	Repurchase	N		Y	4.15	03-NOV-2025
159172347	Repurchase	N		N	3.4	31-OCT-2025
159186185	Reverse repurchase	N		N	4.38	01-OCT-2025
159178233	Reverse repurchase	N		N	3.25	31-OCT-2025
159346326	Reverse repurchase	N		N	3.95	19-SEP-2027
160487612	Repurchase	N		Y	4.15	03-NOV-2025
159173815	Repurchase	N		N	3.7	31-OCT-2025
159189534	Repurchase	N		N	3.9	
159184582	Repurchase	N		N	3.92	31-OCT-2025
159341333	Reverse repurchase	N		N	-1.25	19-SEP-2027
156626437	Repurchase	N		Y	4.91	09-FEB-2026
158712579	Repurchase	N		Y	4.21	01-OCT-2025
157922845	Repurchase	Y	BofA Securities, Inc.	N	4.26	14-OCT-2025
159171776	Repurchase	N		N	3.9	31-OCT-2025
159178201	Reverse repurchase	N		N	4.28	01-OCT-2025
159171190	Reverse repurchase	N		N	4.3	01-OCT-2025
159186350	Repurchase	N		N	3.75	
159183283	Repurchase	N		N	3.9	
159176404	Reverse repurchase	N		N	3.75	02-OCT-2025
159303329	Repurchase	N		N	4.25	15-OCT-2025
159303501	Repurchase	N		N	4.26	06-OCT-2025
