HOLDING_ID	REPURCHASE_COLLATERAL_ID	PRINCIPAL_AMOUNT	PRINCIPAL_CURRENCY_CODE	COLLATERAL_AMOUNT	COLLATERAL_CURRENCY_CODE	INVESTMENT_CAT	OTHER_INTRUMENT_DESC
159178938	300019	-400000	USD	-409125.69	USD	CDS	
159178694	300017	-1800000	USD	-1617316.88	USD	CDS	
159183540	300047	-300000	USD	-304727.68	USD	CDS	
159303518	300558	148148200	USD	151119844	USD	UST	
159188745	300088	-18086000	USD	-15533736.4790252	USD	Other instrument	Foreign Government Obligations
159184510	300056	17450000	USD	17591781.25	USD	UST	
159172893	299992	-900000	USD	-962740.52	USD	CDS	
159371133	300957	85563541.27	USD	87106625.42	USD	AMBS	
160483935	303896	1974500	USD	1883108.35	USD	UST	
156250055	295551	5503400	USD	5202019.82	USD	UST	
159171776	299988	-300000	USD	-303927.62	USD	CDS	
156249288	295545	199983725	USD	186557997.32	USD	AMBS	
158712579	297988	10005300	USD	10200043.05	USD	UST	
158981901	298812	95769400	USD	100126260	USD	UST	
159177509	300008	1878000	USD	1689047.2836	USD	CDS	
159183520	300046	-157000	USD	-163290.58	USD	CDS	
159183964	300054	-1200000	USD	-863317.4	USD	CDS	
159171177	299981	-148000	USD	-150610.71	USD	CDS	
159187393	300080	14123000	USD	14171547.8214864	USD	UST	
159342720	300700	4250000	USD	3936999.83	USD	CDS	
160180350	303600	327966083.26475689	USD	150094386.8309208	USD	ADAS	
159386305	301026	723174700	USD	713194078.8	USD	UST	
159165972	299969	-1860000	USD	-2376670.63826087	USD	CDS	
159177777	300011	-700000	USD	-530755.18	USD	CDS	
159303936	300576	1812449300	USD	1769795002	USD	UST	
159303640	300564	334139000	USD	332531741.3	USD	CDS	
159283224	300480	6600000	EUR	6351004.97	EUR	CDS	
159341843	300695	3000000	USD	2919737.88	USD	CDS	
159343381	300704	1281028000	USD	1103496670	USD	UST	
158384606	297657	78955000	USD	80738723.35	USD	ADAS	
158982423	298816	24812700	USD	25500011.79	USD	UST	
159165478	299966	-2970000	USD	-3510447.87	USD	CDS	
160180384	303601	477471356	USD	204070551.05	USD	ADAS	
158170572	297596	16051100	USD	15300571.18	USD	UST	
159183690	300050	-5000000	USD	-5045241	USD	CDS	
159185456	300066	-200000	USD	-217792.21	USD	CDS	
159170725	299977	15165000	USD	14784775.23	USD	CDS	
159181987	300036	2954000	USD	2879200.29	USD	CDS	
159187340	300078	9626000	USD	9935808.28151576	USD	UST	
159303428	300554	756336300	USD	757849058.1	USD	UST	
