HOLDING_ID	REPURCHASE_COUNTERPARTY_ID	NAME	LEI
159185939	233081	BofA Securities, Inc.	549300HN4UKV1E2R3U73
159177604	233019	Barclays Bank plc	G5GSEF7VJP5I7OUK5573
159185567	233079	BNP Paribas SA	R0MUWSFPU8MPRO8K5P83
159163762	232973	Nomura Securities International, Inc.	OXTKY6Q8X53C9ILVV871
160487612	236345	Societe Generale	O2RNE8IBXP4R0TD8PU41
159170725	232987	Barclays Capital, Inc.	AC28XWWI3WIBK2824319
159271663	233405	BANK OF AMERICA CORPORATION	9DJT3UXIJIZJI4WXO774
160483761	236330	Bank of Nova Scotia	L3I9ZG2KFGXZ61BMYR72
159178201	233023	Bank of America N.A.	B4TYDEB6GKMZO031MB27
159185495	233077	JPMorgan Securities LLC	ZBUT11V806EZRVTWT807
159189833	233105	Deutsche Bank AG	7LTWFZYICNSX8D621K86
159177385	233017	Barclays Bank plc	G5GSEF7VJP5I7OUK5573
159346326	233717	BARCLAYS BANK PLC	G5GSEF7VJP5I7OUK5573
159341729	233698	DEUTSCHE BANK AKTIENGESELLSCHAFT	7LTWFZYICNSX8D621K86
159183569	233058	BNP Paribas SA	R0MUWSFPU8MPRO8K5P83
159183079	233052	BNP Paribas SA	R0MUWSFPU8MPRO8K5P83
159164417	232974	Nomura Securities International, Inc.	OXTKY6Q8X53C9ILVV871
159185147	233073	Barclays Capital, Inc.	AC28XWWI3WIBK2824319
159285222	233498	BARCLAYS BANK PLC	G5GSEF7VJP5I7OUK5573
158170599	231013	HSBC Bank USA	CYYGQCGNHMHPSMRL3R97
159275372	233454	BANK OF AMERICA CORPORATION	9DJT3UXIJIZJI4WXO774
158712554	231289	Bank of Nova Scotia/New York	L3I9ZG2KFGXZ61BMYR72
159185441	233075	Barclays Bank plc	G5GSEF7VJP5I7OUK5573
159160777	232969	RBC Capital Markets LLC	549300LCO2FLSSVFFR64
159180435	233037	Barclays Bank plc	G5GSEF7VJP5I7OUK5573
159342720	233704	Nomura Securities International, Inc.	OXTKY6Q8X53C9ILVV871
156187896	229398	Nomura Securities International, Inc.	OXTKY6Q8X53C9ILVV871
159346596	233721	DEUTSCHE BANK AKTIENGESELLSCHAFT	7LTWFZYICNSX8D621K86
158712581	231295	HSBC SECURITIES (USA) INC.	CYYGQCGNHMHPSMRL3R97
159183877	233062	RBC Capital Markets LLC	549300LCO2FLSSVFFR64
159304088	233584	BANK OF AMERICA CORPORATION	9DJT3UXIJIZJI4WXO774
159086220	232959	BANK OF AMERICA N.A.	B4TYDEB6GKMZO031MB27
160483955	236337	HSBC Bank USA	CYYGQCGNHMHPSMRL3R97
159185956	233082	RBC Europe Ltd.	TXDSU46SXBWIGJ8G8E98
159303995	233582	BANK OF AMERICA CORPORATION	9DJT3UXIJIZJI4WXO774
159346862	233724	BARCLAYS BANK PLC	G5GSEF7VJP5I7OUK5573
160483590	236324	BNP Paribas Securities Corp.	2J5703FH5U5M97R1I237
159188301	233096	RBC Capital Markets LLC	549300LCO2FLSSVFFR64
159171177	232991	RBC Capital Markets LLC	549300LCO2FLSSVFFR64
159178910	233028	BofA Securities, Inc.	549300HN4UKV1E2R3U73
156400240	229418	BofA Securities, Inc.	549300HN4UKV1E2R3U73
158982424	231931	Credit Agricole Corporate and Investment Bank/NY	549300WO2DKF0Q3YMV43
160483945	236336	Bank of America Securities, LLC	8NAV47T0Y26Q87Y0QP81
160483608	236325	Credit Agricole	969500TJ5KRTCJQWXH05
159177659	233020	RBC Capital Markets LLC	549300LCO2FLSSVFFR64
159187342	233089	RBC Capital Markets LLC	549300LCO2FLSSVFFR64
159160629	232968	Bank of America N.A.	B4TYDEB6GKMZO031MB27
159160607	232967	Barclays Bank plc	G5GSEF7VJP5I7OUK5573
159165478	232976	Barclays Bank plc	G5GSEF7VJP5I7OUK5573
159367770	233957	Bank of Montreal	NQQ6HPCNCCU6TUTQYE16
159368778	233959	CITIGROUP INC.	6SHGI4ZSSLCXXQSBB395
159303936	233580	BANK OF AMERICA CORPORATION	9DJT3UXIJIZJI4WXO774
159303413	233557	BANK OF AMERICA CORPORATION	9DJT3UXIJIZJI4WXO774
160180387	236094	JP Morgan Securities LLC	ZBUT11V806EZRVTWT807
159268473	233398	CITIGROUP INC.	6SHGI4ZSSLCXXQSBB395
159794363	235851	BOFA SECURITIES, INC.	549300HN4UKV1E2R3U73
156626437	230281	Wells Fargo Securities LLC	VYVVCKR63DVZZN70PB21
158712580	231294	DEUTSCHE BANK SECURITIES INC.	9J6MBOOO7BECTDTUZW19
159183920	233063	BofA Securities, Inc.	549300HN4UKV1E2R3U73
159183726	233061	RBC Capital Markets LLC	549300LCO2FLSSVFFR64
159374742	233972	DEUTSCHE BANK AKTIENGESELLSCHAFT	7LTWFZYICNSX8D621K86
