HOLDING_ID	PUT_OR_CALL	WRITTEN_OR_PURCHASED	SHARES_CNT	PRINCIPAL_AMOUNT	CURRENCY_CODE	EXERCISE_PRICE	EXPIRATION_DATE	UNREALIZED_APPRECIATION
157703218	Put	Written	100			62.5	21-NOV-2025	1336515
156398424	Put	Written	100			6375	17-SEP-2025	-48985.65
156391161	Put	Purchased	100			5750	10-SEP-2025	-27613.55
157289333	Put	Purchased	1			4.05	30-JAN-2026	-1608683.39
156387593	Put	Purchased	100			6115	05-SEP-2025	-2420.46
156387501	Put	Written	100			6440	23-SEP-2025	-9634.68
159188594	Call	Purchased		750000000	JPY	0	07-MAR-2031	215533.76
159184589	Put	Written	1			3.1	24-JUN-2026	-174058.99
159167122	Put	Written	1			1.9	02-DEC-2025	-361016.58
159185265	Call	Written	1			2.7	17-AUG-2026	45912.6
158643951	Call	Written	100			480	18-JUN-2026	-4346231
157288291	Put	Purchased	1			4.22	27-FEB-2026	-2022847.57
157288742	Put	Purchased	1			4	31-MAR-2026	-2046031.93
159301574	Put	Purchased				.63	08-OCT-2025	-445272.82
159291474	Call	Purchased				10.2	26-NOV-2025	-532843.42
157703859	Call	Written	100			240	19-DEC-2025	-2840467.25
157702929	Call	Written	100			220	19-DEC-2025	-7054332.25
156452466	Put	Purchased	1			3.804	25-AUG-2026	41758.38
158499755	Call	Written	100			80	17-OCT-2025	111496.01
156391670	Put	Written	100			6430	30-SEP-2025	-10815.21
161041793	Call	Written	10			6100	19-DEC-2025	188086.02
160399363	Put	Purchased	438614000			50	19-NOV-2025	-327135.86
159370271	Call	Purchased				4.31	02-MAY-2035	-887159.61
159369047	Put	Purchased				4.43	16-MAY-2035	-1135017.8
159370529	Put	Purchased				5	06-APR-2026	-445309.86
159367614	Put	Purchased				4.31	24-APR-2035	-992141.04
159369787	Call	Purchased				4.66	20-AUG-2035	-1482807.06
159370011	Put	Purchased				4.1	06-FEB-2035	-815172.93
158356248	Put	Purchased	1			3.804	25-AUG-2026	89802.73
157703528	Put	Written	100			200	19-DEC-2025	-560867.25
157702284	Put	Written	100			250	21-NOV-2025	1796628.75
159795269	Put	Written	-190220625			3.64	13-AUG-2026	115890.02
159385471	Call	Purchased				2.4	20-JUL-2027	-1532311.46
159344289	Put	Written				2.85	02-OCT-2025	95886.83
158499690	Put	Purchased		268348000	USD	4.33	14-OCT-2025	-3787913.55
156391214	Put	Written	100			6370	12-SEP-2025	21239.54
156388507	Put	Purchased	100			5740	05-SEP-2025	-45554.23
159277146	Call	Written				3.58	02-OCT-2025	60624.89
159300827	Call	Written				2.55	06-OCT-2025	110518.69
157702007	Call	Written	100			120	19-DEC-2025	-797669
156393177	Put	Written	100			6330	03-SEP-2025	191672.83
159185201	Put	Purchased	10			5300	17-OCT-2025	-340376.33
159170220	Call	Purchased	1			1.185	09-MAR-2026	-107505.68
159182034	Put	Purchased	1			142	08-OCT-2025	-4512338.71
157666202	Call	Purchased	1000000			98	11-DEC-2026	-33922.7
